seq_id  alignment_start alignment_end envelope_start envelope_end hmm_acc hmm_name type hmm_start hmm_end hmm_length bit_score E-value significance clan
AC018554.3	         79    283     78    288 PF15229.5   POM121            Family     2   210   232     88.2   6.1e-25   1 No_clan  
FAAP20	          144    178    144    178 PF15750.4   UBZ_FAAP20        Family     1    35    35     83.2   8.1e-24   1 CL0361   
FAAP20	           35    139     35    139 PF15751.4   FANCA_interact    Family     1   108   108    143.9     2e-42   1 No_clan  
FAAP20	          144    178    144    178 PF15750.4   UBZ_FAAP20        Family     1    35    35     83.0   9.2e-24   1 CL0361   
FAAP20	           35    139     35    139 PF15751.4   FANCA_interact    Family     1   108   108    144.5   1.4e-42   1 No_clan  
FAAP20	           10     91      3     91 PF15751.4   FANCA_interact    Family    24   108   108     92.1   2.6e-26   1 No_clan  
FAAP20	           33    137     33    137 PF15751.4   FANCA_interact    Family     1   108   108    144.0   1.9e-42   1 No_clan  
FAAP20	           35    139     35    139 PF15751.4   FANCA_interact    Family     1   108   108    143.9     2e-42   1 No_clan  
FAM153C	            30    143     30    143 PF15722.4   FAM153            Family     1   114   114    253.5   2.1e-76   1 No_clan  
FAM153C	          78    176     78    176 PF15722.4   FAM153            Family     1    99   114    220.4   4.2e-66   1 No_clan  
FAM153C	           1     39      1     40 PF15722.4   FAM153            Family     1    39   114     75.3   4.4e-21   1 No_clan  
FAM153C	           1    114      1    114 PF15722.4   FAM153            Family     1   114   114    254.3   1.3e-76   1 No_clan  
FAM153C	           1    114      1    114 PF15722.4   FAM153            Family     1   114   114    255.5   5.3e-77   1 No_clan  
FAM180B	            36    177     35    177 PF15173.5   FAM180            Family     2   137   137    142.2     9e-42   1 No_clan  
FAM216B	             1    111      1    111 PF15107.5   FAM216B           Family     1   111   111    188.5     2e-56   1 No_clan  
FAM47A	              1    255      1    259 PF14642.5   FAM47             Family     1   254   257    456.3  2.7e-137   1 No_clan  
FAM47A	            259    370    256    373 PF14642.5   FAM47             Family   144   254   257    135.5   2.1e-39   1 No_clan  
FAM47A	            373    419    371    423 PF14642.5   FAM47             Family   208   254   257     50.4   1.9e-13   1 No_clan  
FAM47A	            423    538    420    542 PF14642.5   FAM47             Family   144   254   257     87.2   1.2e-24   1 No_clan  
FAM47A	            1    255      1    259 PF14642.5   FAM47             Family     1   254   257    456.4  2.5e-137   1 No_clan  
FAM47A	          259    370    256    372 PF14642.5   FAM47             Family   144   254   257    135.5   2.1e-39   1 No_clan  
FAM47A	          373    419    370    423 PF14642.5   FAM47             Family   208   254   257     50.6   1.7e-13   1 No_clan  
FAM47A	          423    538    420    539 PF14642.5   FAM47             Family   144   254   257     85.9     3e-24   1 No_clan  
FAM71D	          116    184    115    185 PF12480.7   DUF3699           Family     2    70    71     79.0   2.1e-22   1 No_clan  
FAM71D	          116    184    115    185 PF12480.7   DUF3699           Family     2    70    71     78.9   2.2e-22   1 No_clan  
FAM90A1	          41     80     41     80 PF15288.5   zf-CCHC_6         Domain     1    40    40     67.3   7.1e-19   1 CL0511   
FANCF	               1    354      1    354 PF11107.7   FANCF             Family     1   342   342    440.4  4.3e-132   1 No_clan  
FBLL1	             100    326    100    327 PF01269.16  Fibrillarin       Domain     1   225   226    354.4  1.6e-106   1 CL0063   
FSIP2	          4072   4599   4062   4610 PF15783.4   FSIP2             Family    42   577   875    175.1   1.6e-51   1 No_clan  
FSIP2	          4687   4917   4686   4927 PF15783.4   FSIP2             Family     6   239   875     53.2   1.2e-14   1 No_clan  
FSIP2	          4878   5246   4871   5251 PF15783.4   FSIP2             Family    32   408   875     79.1   1.7e-22   1 No_clan  
FSIP2	          5092   5405   5090   5421 PF15783.4   FSIP2             Family    87   409   875     74.8   3.6e-21   1 No_clan  
FSIP2	          5902   6774   5901   6774 PF15783.4   FSIP2             Family     2   875   875   1550.6         0   1 No_clan  
FSIP2	           109    329    108    331 PF15783.4   FSIP2             Family     2   222   875    416.8  1.5e-124   1 No_clan  
FSIP2	           330    635    329    641 PF15783.4   FSIP2             Family   266   571   875    546.9  7.3e-164   1 No_clan  
FUOM	               26    120     25    121 PF05025.12  RbsD_FucU         Family    49   134   135     77.5   1.1e-21   1 CL0101   
FUOM	              2    102      1    103 PF05025.12  RbsD_FucU         Family    43   134   135     84.3   9.1e-24   1 CL0101   
FUOM	              6    133      5    134 PF05025.12  RbsD_FucU         Family     2   120   135    111.4     4e-32   1 CL0101   
FUOM	              6    147      5    148 PF05025.12  RbsD_FucU         Family     2   134   135    139.4   8.7e-41   1 CL0101   
GAPT	                1     68      1     69 PF11770.7   GAPT              Family     1    69   156    104.4   4.9e-30   1 No_clan  
GAPT	              1     68      1     69 PF11770.7   GAPT              Family     1    69   156    104.3   5.1e-30   1 No_clan  
GAPT	              1    155      1    155 PF11770.7   GAPT              Family     1   156   156    272.1   1.1e-81   1 No_clan  
GAS1	              166    240    166    243 PF02351.15  GDNF              Domain     1    85    89     23.7   6.5e-05   1 No_clan  
GAST	               87     99     82    101 PF00918.16  Gastrin           Family   109   121   126     23.5     8e-05   1 No_clan  
GCSAML	             17     74     16     75 PF15666.4   HGAL              Family     2    60    88     66.4   1.7e-18   1 No_clan  
GCSAML	           17    102     16    102 PF15666.4   HGAL              Family     2    88    88    108.3   1.5e-31   1 No_clan  
GCSAML	           29    114     28    114 PF15666.4   HGAL              Family     2    88    88    107.7   2.1e-31   1 No_clan  
GCSAML	           49     79     48     81 PF15666.4   HGAL              Family     2    32    88     33.6   2.8e-08   1 No_clan  
GCSAML	           49    134     48    134 PF15666.4   HGAL              Family     2    88    88    107.0   3.5e-31   1 No_clan  
GEMIN8	             14    177     14    177 PF15348.5   GEMIN8            Family     1   166   231    225.4   1.2e-66   1 No_clan  
GEMIN8	           14    242     14    242 PF15348.5   GEMIN8            Family     1   231   231    368.4  2.3e-110   1 No_clan  
GGN	                 1     82      1     82 PF15685.4   GGN               Family    85   166   652    122.1   3.5e-35   1 No_clan  
GGN	               1    456      1    457 PF15685.4   GGN               Family    85   539   652    735.5  7.4e-221   1 No_clan  
GGN	               2     60      2     60 PF15685.4   GGN               Family     1    61   652     98.3   5.3e-28   1 No_clan  
GGN	               2    652      2    652 PF15685.4   GGN               Family     1   652   652   1126.3         0   1 No_clan  
GHDC	            232    423    185    431 PF03321.12  GH3               Family   244   434   527    143.9   6.8e-42   1 CL0378   
GHDC	            232    448    185    462 PF03321.12  GH3               Family   244   456   527    152.8   1.3e-44   1 CL0378   
GHDC	            232    498    185    506 PF03321.12  GH3               Family   244   506   527    188.8   1.6e-55   1 CL0378   
GPIHBP1	            65    137     65    137 PF00021.20  UPAR_LY6          Domain     1    77    77     18.8    0.0018   1 CL0117   
GSDMB	               5    136      4    137 PF04598.11  Gasdermin         Family     2   133   460     53.5   1.8e-14   1 No_clan  
GSDMB	             5    178      4    190 PF04598.11  Gasdermin         Family     2   176   460     81.1   7.8e-23   1 No_clan  
GSDMB	             5    178      4    192 PF04598.11  Gasdermin         Family     2   176   460     81.1   7.9e-23   1 No_clan  
GSDMB	             5    218      4    222 PF04598.11  Gasdermin         Family     2   225   460     97.4   9.1e-28   1 No_clan  
GSDMB	           235    363    219    373 PF04598.11  Gasdermin         Family   285   415   460     46.3   2.8e-12   1 No_clan  
GSDMB	             5    235      4    243 PF04598.11  Gasdermin         Family     2   244   460    103.8     1e-29   1 No_clan  
GSDMB	           248    376    241    386 PF04598.11  Gasdermin         Family   285   415   460     46.3   2.8e-12   1 No_clan  
GSDMB	             5    241      4    245 PF04598.11  Gasdermin         Family     2   250   460    104.4   6.7e-30   1 No_clan  
GSDMB	           239    367    233    377 PF04598.11  Gasdermin         Family   285   415   460     46.6   2.2e-12   1 No_clan  
GSDMB	             5    218      4    221 PF04598.11  Gasdermin         Family     2   225   460     97.3   9.3e-28   1 No_clan  
GSDMB	           226    354    217    364 PF04598.11  Gasdermin         Family   285   415   460     46.3   2.8e-12   1 No_clan  
HMGN3	               1     74      1     77 PF01101.17  HMG14_17          Family     1    68    91     71.9     6e-20   1 No_clan  
HMGN3	             1     94      1     97 PF01101.17  HMG14_17          Family     1    88    91     92.0   3.2e-26   1 No_clan  
HMGN3	             1     95      1     97 PF01101.17  HMG14_17          Family     1    89    91     92.9   1.7e-26   1 No_clan  
HMGN5	               6     77      4     79 PF01101.17  HMG14_17          Family    27    89    91     41.3     2e-10   1 No_clan  
HMGN5	             3     87      1     89 PF01101.17  HMG14_17          Family    14    89    91     72.2   4.7e-20   1 No_clan  
HMGN5	             1     89      1     89 PF01101.17  HMG14_17          Family     1    81    91     87.5   8.1e-25   1 No_clan  
HMGN5	             1     97      1     99 PF01101.17  HMG14_17          Family     1    89    91     96.5   1.2e-27   1 No_clan  
HMGN5	             1     97      1     99 PF01101.17  HMG14_17          Family     1    89    91     92.7   1.9e-26   1 No_clan  
HMGN5	             1     97      1     99 PF01101.17  HMG14_17          Family     1    89    91     90.5   9.2e-26   1 No_clan  
HYLS1	             197    284    196    284 PF15311.5   HYLS1_C           Family     2    90    90    133.3   3.8e-39   1 No_clan  
IER2	                1    137      1    180 PF05760.11  IER               Family     1   128   324     70.0   3.8e-19   1 No_clan  
IL13	               16    144     16    144 PF03487.12  IL13              Domain     1   129   129    229.8   6.1e-69   1 CL0053   
IL13	              2    130      2    130 PF03487.12  IL13              Domain     1   129   129    229.8   5.8e-69   1 CL0053   
IL15	               33    160     33    160 PF02372.14  IL15              Domain     1   135   135    184.7   6.6e-55   1 CL0053   
IL15	              9    133      6    133 PF02372.14  IL15              Domain     4   135   135    176.8   1.8e-52   1 CL0053   
IL2	                 7    150      7    150 PF00715.16  IL2               Domain     1   145   145    260.7   2.8e-78   1 CL0053   
IL32	               58    154     58    154 PF15225.5   IL32              Family     1   101   101    153.0   2.4e-45   1 No_clan  
IL32	             92    188     92    188 PF15225.5   IL32              Family     1   101   101    152.3   3.7e-45   1 No_clan  
IL32	             59    155     59    155 PF15225.5   IL32              Family     1   101   101    152.9   2.4e-45   1 No_clan  
IL32	             68    164     68    164 PF15225.5   IL32              Family     1   101   101    152.8   2.7e-45   1 No_clan  
IL32	             68    108     68    120 PF15225.5   IL32              Family     1    41   101     50.7   1.6e-13   1 No_clan  
IL32	             48    144     48    144 PF15225.5   IL32              Family     1   101   101    153.2     2e-45   1 No_clan  
IL32	             39    131     39    132 PF15225.5   IL32              Family     1    97   101    149.8   2.3e-44   1 No_clan  
IL32	            105    201    105    201 PF15225.5   IL32              Family     1   101   101    152.1   4.2e-45   1 No_clan  
IL32	            114    210    114    210 PF15225.5   IL32              Family     1   101   101    152.1   4.2e-45   1 No_clan  
IL32_10	           114    210    114    210 PF15225.5   IL32              Family     1   101   101    152.0   4.6e-45   1 No_clan  
IL32_11	           114    210    114    210 PF15225.5   IL32              Family     1   101   101    152.2   4.1e-45   1 No_clan  
IL32_12	            48    144     48    144 PF15225.5   IL32              Family     1   101   101    153.2     2e-45   1 No_clan  
IL32_13	            28    124     28    124 PF15225.5   IL32              Family     1   101   101    153.7   1.4e-45   1 No_clan  
IL5	                23    133     22    133 PF02025.14  IL5               Domain     2   112   112    207.1   4.8e-62   1 CL0053   
IL5	              12     51      8     51 PF02025.14  IL5               Domain    25    64   112     59.1   4.2e-16   1 CL0053   
IL7	              28     77     28     78 PF01415.15  IL7               Domain     1    49   131     54.9   8.6e-15   1 CL0053   
IL7	              78    110     77    110 PF01415.15  IL7               Domain    99   131   131     38.9   7.6e-10   1 CL0053   
IL7	              28    154     28    154 PF01415.15  IL7               Domain     1   131   131    159.5     4e-47   1 CL0053   
IL7	              28    172     28    172 PF01415.15  IL7               Domain     1   131   131    159.1   5.4e-47   1 CL0053   
IL7	              28     76     28     80 PF01415.15  IL7               Domain     1    48   131     53.3   2.7e-14   1 CL0053   
IL7	              96    128     83    128 PF01415.15  IL7               Domain    99   131   131     40.0   3.6e-10   1 CL0053   
IL9	                15    141     15    141 PF01415.15  IL7               Domain     1   131   131    166.1   3.7e-49   1 CL0053   
INAFM2	             31     63     31     64 PF15018.5   InaF-motif         Motif     1    33    35     60.1   1.3e-16   1 No_clan  
INSC	               70    115     70    116 PF16748.4   INSC_LBD          Domain     1    45    46    104.8   9.9e-31   1 No_clan  
INSC	             23     68     23     69 PF16748.4   INSC_LBD          Domain     1    45    46    105.0   8.6e-31   1 No_clan  
INSC	             23     68     23     69 PF16748.4   INSC_LBD          Domain     1    45    46    105.0   8.9e-31   1 No_clan  
INSC	             23     68     23     69 PF16748.4   INSC_LBD          Domain     1    45    46    105.1     8e-31   1 No_clan  
INSC	             22     67     22     68 PF16748.4   INSC_LBD          Domain     1    45    46    104.9   9.7e-31   1 No_clan  
ISCU	             35    140     34    146 PF01592.15  NifU_N            Family     2   109   129    166.7   2.3e-49   1 CL0233   
ISCU	             35    140     34    154 PF01592.15  NifU_N            Family     2   109   129    166.8   2.2e-49   1 CL0233   
ISCU	             35    140     34    148 PF01592.15  NifU_N            Family     2   109   129    167.1   1.8e-49   1 CL0233   
ISCU	             35    157     34    160 PF01592.15  NifU_N            Family     2   126   129    192.4   2.7e-57   1 CL0233   
ISCU	             11    132      9    135 PF01592.15  NifU_N            Family     3   126   129    187.5   8.8e-56   1 CL0233   
ISYNA1	             39    437     20    437 PF07994.11  NAD_binding_5     Family    35   322   322    401.5  2.7e-120   1 CL0063   
ISYNA1	            253    366    253    366 PF01658.16  Inos-1-P_synth    Family     1   109   109    155.0   6.6e-46   1 No_clan  
ISYNA1	           59     93     59     94 PF07994.11  NAD_binding_5     Family     1    35   322     41.9   7.5e-11   1 CL0063   
ISYNA1	           94    177     91    178 PF07994.11  NAD_binding_5     Family   147   231   322    118.7     3e-34   1 CL0063   
ISYNA1	           59    139     59    144 PF07994.11  NAD_binding_5     Family     1    82   322    107.3   9.5e-31   1 CL0063   
ISYNA1	           59    148     59    149 PF07994.11  NAD_binding_5     Family     1    91   322    128.7   2.9e-37   1 CL0063   
ISYNA1	           59    491     59    491 PF07994.11  NAD_binding_5     Family     1   322   322    461.1  1.9e-138   1 CL0063   
ISYNA1	          307    420    307    420 PF01658.16  Inos-1-P_synth    Family     1   109   109    154.7   7.8e-46   1 No_clan  
ISYNA1	           92    183     92    183 PF07994.11  NAD_binding_5     Family     1    93   322    129.9   1.2e-37   1 CL0063   
ISYNA1	            1    363      1    363 PF07994.11  NAD_binding_5     Family    72   322   322    352.8  1.8e-105   1 CL0063   
ISYNA1	          179    292    179    292 PF01658.16  Inos-1-P_synth    Family     1   109   109    155.4     5e-46   1 No_clan  
ISYNA1	            2     89      1     89 PF01658.16  Inos-1-P_synth    Family    27   109   109    118.6   1.3e-34   1 No_clan  
ISYNA1	           64    160      6    160 PF07994.11  NAD_binding_5     Family   251   322   322     87.2   1.2e-24   1 CL0063   
ITGB3BP	            25    161     25    162 PF06729.11  CENP-R            Family     1   137   138    215.7   1.8e-64   1 No_clan  
ITGB3BP	          25    161     25    162 PF06729.11  CENP-R            Family     1   137   138    216.6   9.3e-65   1 No_clan  
ITGB3BP	          64    200     64    201 PF06729.11  CENP-R            Family     1   137   138    214.8   3.4e-64   1 No_clan  
IZUMO2	             20    165     20    165 PF15005.5   IZUMO             Family     1   146   146    156.8   4.8e-46   1 No_clan  
IZUMO2	            2     80      1     84 PF15005.5   IZUMO             Family     5    83   146     64.7   1.2e-17   1 No_clan  
IZUMO2	           16     77     16     78 PF15005.5   IZUMO             Family     1    62   146     54.8   1.4e-14   1 No_clan  
IZUMO2	            8    153      8    153 PF15005.5   IZUMO             Family     1   146   146    156.6   5.6e-46   1 No_clan  
KISS1	              48    122     46    122 PF15152.5   Kisspeptin        Family     3    76    76    115.8     1e-33   1 No_clan  
KISS1	            48    122     46    122 PF15152.5   Kisspeptin        Family     3    76    76    116.0   9.3e-34   1 No_clan  
KRBA1	           109    141    102    143 PF15287.5   KRBA1             Repeat    10    42    43      5.1        17   1 No_clan  
KRBA1	           195    237    195    237 PF15287.5   KRBA1             Repeat     1    43    43     65.1   3.2e-18   1 No_clan  
KRBA1	           262    287    258    292 PF15287.5   KRBA1             Repeat     7    32    43     15.7    0.0087   1 No_clan  
KRBA1	           371    415    371    415 PF15287.5   KRBA1             Repeat     1    43    43     55.1   4.1e-15   1 No_clan  
KRBA1	           491    516    488    525 PF15287.5   KRBA1             Repeat     5    30    43     42.7     3e-11   1 No_clan  
KRBA1	           603    642    600    642 PF15287.5   KRBA1             Repeat     5    43    43     31.7   8.6e-08   1 No_clan  
KRBA1	           109    141    102    143 PF15287.5   KRBA1             Repeat    10    42    43      5.2        16   1 No_clan  
KRBA1	           195    237    195    237 PF15287.5   KRBA1             Repeat     1    43    43     65.2     3e-18   1 No_clan  
KRBA1	           262    287    258    292 PF15287.5   KRBA1             Repeat     7    32    43     15.7    0.0081   1 No_clan  
KRBA1	           371    415    371    415 PF15287.5   KRBA1             Repeat     1    43    43     55.2   3.8e-15   1 No_clan  
KRBA1	           491    516    488    525 PF15287.5   KRBA1             Repeat     5    30    43     42.8   2.8e-11   1 No_clan  
KRBA1	           540    581    538    581 PF15287.5   KRBA1             Repeat     3    43    43     35.7   4.7e-09   1 No_clan  
KRBA1	             6     47      6     47 PF01352.26  KRAB              Family     1    42    42     72.5   1.4e-20   1 No_clan  
KRBA1	           140    175    135    177 PF15287.5   KRBA1             Repeat     7    42    43      4.7        23   1 No_clan  
KRBA1	           229    271    229    271 PF15287.5   KRBA1             Repeat     1    43    43     65.0   3.3e-18   1 No_clan  
KRBA1	           296    321    292    326 PF15287.5   KRBA1             Repeat     7    32    43     15.6     0.009   1 No_clan  
KRBA1	           405    449    405    449 PF15287.5   KRBA1             Repeat     1    43    43     55.0   4.3e-15   1 No_clan  
KRBA1	           525    550    522    559 PF15287.5   KRBA1             Repeat     5    30    43     42.7   3.1e-11   1 No_clan  
KRBA1	           637    676    634    676 PF15287.5   KRBA1             Repeat     5    43    43     31.6   8.9e-08   1 No_clan  
KRBA1	            63     98     58    100 PF15287.5   KRBA1             Repeat     7    42    43      5.6        12   1 No_clan  
KRBA1	           152    194    152    194 PF15287.5   KRBA1             Repeat     1    43    43     65.9   1.7e-18   1 No_clan  
KRBA1	           219    244    215    249 PF15287.5   KRBA1             Repeat     7    32    43     16.5    0.0048   1 No_clan  
KRBA1	           328    372    328    372 PF15287.5   KRBA1             Repeat     1    43    43     56.0   2.2e-15   1 No_clan  
KRBA1	           448    473    445    482 PF15287.5   KRBA1             Repeat     5    30    43     43.6   1.7e-11   1 No_clan  
KRBA1	           497    538    495    538 PF15287.5   KRBA1             Repeat     3    43    43     36.5   2.7e-09   1 No_clan  
KRTDAP	             23     99     23     99 PF15200.5   KRTDAP            Family     1    77    77    136.6   1.6e-40   1 No_clan  
KRTDAP	           35     85     23     85 PF15200.5   KRTDAP            Family    27    77    77     91.2   2.4e-26   1 No_clan  
L1TD1	             253    314    251    315 PF17490.1   Tnp_22_dsRBD      Domain     3    64    65     51.4   7.3e-14   1 No_clan  
L1TD1	             701    795    698    795 PF02994.13  Transposase_22    Domain     3    98    98     85.3   2.3e-24   1 CL0221   
L1TD1	             799    860    798    862 PF17490.1   Tnp_22_dsRBD      Domain     2    63    65     61.2   6.6e-17   1 No_clan  
LEP	                23    167     23    167 PF02024.14  Leptin            Domain     1   145   145    241.3   2.4e-72   1 CL0053   
LOR	                 1    312      1    312 PF15847.4   Loricrin          Family     1   326   326    447.2  2.8e-134   1 No_clan  
LSMEM2	             13    162     13    162 PF15833.4   DUF4714           Family     1   149   149    290.4   2.3e-87   1 No_clan  
LY6E	             23     59     23     64 PF00021.20  UPAR_LY6          Domain     1    36    77     27.3   4.1e-06   1 CL0117   
LY6E	             23     99     23     99 PF00021.20  UPAR_LY6          Domain     1    77    77     53.2   3.3e-14   1 CL0117   
LY6E	             23     59     23     65 PF00021.20  UPAR_LY6          Domain     1    36    77     24.0   4.3e-05   1 CL0117   
LY6E	             23     59     23     64 PF00021.20  UPAR_LY6          Domain     1    36    77     28.6   1.6e-06   1 CL0117   
MAEL	                2     44      2     45 PF09011.9   HMG_box_2         Domain     1    44    73     53.1   3.4e-14   1 CL0114   
MAEL	               99    295     97    298 PF13017.5   Maelstrom         Family     4   213   216    198.1   1.4e-58   1 CL0219   
MAEL	              2     44      2     45 PF09011.9   HMG_box_2         Domain     1    44    73     52.6   4.8e-14   1 CL0114   
MAEL	             99    295     97    298 PF13017.5   Maelstrom         Family     4   213   216    197.1   2.6e-58   1 CL0219   
MAEL	              2     71      2     73 PF09011.9   HMG_box_2         Domain     1    71    73     91.5   3.5e-26   1 CL0114   
MAEL	            130    326    128    328 PF13017.5   Maelstrom         Family     4   213   216    196.8   3.4e-58   1 CL0219   
MAEL	             74    270     72    273 PF13017.5   Maelstrom         Family     4   213   216    197.4   2.2e-58   1 CL0219   
MAGEA10	             6     56      5     59 PF12440.7   MAGE_N            Family     2    53    92     43.3     4e-11   1 No_clan  
MAGEA10	           6     62      5     71 PF12440.7   MAGE_N            Family     2    59    92     41.1   1.9e-10   1 No_clan  
MAGEA10	           6    118      5    118 PF12440.7   MAGE_N            Family     2    92    92     76.5   1.8e-21   1 No_clan  
MAGEA10	           6    118      5    118 PF12440.7   MAGE_N            Family     2    92    92     75.9   2.7e-21   1 No_clan  
MAGEA10	           6    118      5    118 PF12440.7   MAGE_N            Family     2    92    92     73.9   1.2e-20   1 No_clan  
MAGEA10	         141    308    141    309 PF01454.18  MAGE              Family     1   212   213     56.7   2.5e-15   1 No_clan  
MAGEA4	              5     97      5     97 PF12440.7   MAGE_N            Family     1    92    92     89.8   1.3e-25   1 No_clan  
MAGEA4	            5     97      5     97 PF12440.7   MAGE_N            Family     1    92    92     89.0   2.3e-25   1 No_clan  
MAGEA4	            5     97      5     97 PF12440.7   MAGE_N            Family     1    92    92     88.8   2.6e-25   1 No_clan  
MAGEA4	            5     97      5     97 PF12440.7   MAGE_N            Family     1    92    92     88.6   2.9e-25   1 No_clan  
MAGEA4	            5     97      5     97 PF12440.7   MAGE_N            Family     1    92    92     87.9   5.2e-25   1 No_clan  
MAGEA4	          199    282    171    284 PF01454.18  MAGE              Family   121   210   213     35.3   8.3e-09   1 No_clan  
MGMT	               37    121     37    121 PF02870.14  Methyltransf_1N   Domain     1    77    77     84.9   4.8e-24   1 No_clan  
MGMT	              126    204    124    205 PF01035.19  DNA_binding_1     Domain     3    80    81     96.9   5.1e-28   1 No_clan  
MOAP1	               1    326      1    326 PF14893.5   PNMA              Family     1   330   330    434.8  2.1e-130   1 CL0523   
MPC1L	              15    112     11    121 PF03650.12  MPC               Family     5   100   110    104.1   4.1e-30   1 CL0141   
MPLKIP	             96    178     95    179 PF15502.5   MPLKIP            Family     2    61    62     77.7   5.2e-22   1 No_clan  
MRPL30	             68    117     67    117 PF00327.19  Ribosomal_L30     Domain     2    52    52     46.8     2e-12   1 No_clan  
MRPL30	           68     95     67     97 PF00327.19  Ribosomal_L30     Domain     2    30    52     24.3     2e-05   1 No_clan  
MRPL33	             17     60     11     60 PF00471.19  Ribosomal_L33     Family     2    47    47     29.9   5.1e-07   1 CL0167   
MRPL54	             69     99     63    109 PF08561.9   Ribosomal_L37     Family     9    39   120     31.2   2.4e-07   1 No_clan  
MS4A6E	             25    118     17    118 PF04103.14  CD20              Family    60   156   156     41.5   1.3e-10   1 CL0347   
MS4A6E	           50    143     41    143 PF04103.14  CD20              Family    60   156   156     40.6   2.4e-10   1 CL0347   
MT-ATP8	             1     50      1     50 PF00895.19  ATP-synt_8        Family     1    50    55     55.0   7.4e-15   1 CL0255   
MTCP1	               5    104      1    105 PF01840.16  TCL1_MTCP1        Family     9   115   116     98.8   1.4e-28   1 No_clan  
MTRNR2L11	           1     22      1     24 PF15040.5   Humanin           Family     1    22    24     60.7   6.2e-17   1 No_clan  
MTRNR2L12	           1     23      1     24 PF15040.5   Humanin           Family     1    23    24     63.6   7.4e-18   1 No_clan  
MTRNR2L13	           1     24      1     24 PF15040.5   Humanin           Family     1    24    24     61.3   3.9e-17   1 No_clan  
MTRNR2L7	            1     24      1     24 PF15040.5   Humanin           Family     1    24    24     63.4     9e-18   1 No_clan  
NAT14	            96    156     76    167 PF00583.24  Acetyltransf_1    Family    34    93   117     27.0   3.8e-06   1 CL0257   
NAT14	            68    128     48    137 PF00583.24  Acetyltransf_1    Family    34    93   117     27.5   2.7e-06   1 CL0257   
NBPF3	           164    226    164    226 PF06758.12  DUF1220           Domain     1    66    66     72.3   2.9e-20   1 No_clan  
NBPF3	           250    312    250    312 PF06758.12  DUF1220           Domain     1    66    66     78.9   2.3e-22   1 No_clan  
NBPF3	           324    387    322    387 PF06758.12  DUF1220           Domain     3    66    66     80.3     9e-23   1 No_clan  
NBPF3	           397    462    397    462 PF06758.12  DUF1220           Domain     1    66    66     95.0   2.2e-27   1 No_clan  
NBPF3	           472    537    472    537 PF06758.12  DUF1220           Domain     1    66    66     89.6   1.1e-25   1 No_clan  
NBPF3	           234    296    234    296 PF06758.12  DUF1220           Domain     1    66    66     72.1   3.3e-20   1 No_clan  
NBPF3	           349    375    346    378 PF06758.12  DUF1220           Domain     9    34    66     24.9   1.7e-05   1 No_clan  
NBPF3	           382    445    380    445 PF06758.12  DUF1220           Domain     3    66    66     80.1     1e-22   1 No_clan  
NBPF3	           455    520    455    520 PF06758.12  DUF1220           Domain     1    66    66     94.8   2.6e-27   1 No_clan  
NBPF3	           530    595    530    595 PF06758.12  DUF1220           Domain     1    66    66     89.4   1.2e-25   1 No_clan  
NBPF3	           234    296    234    296 PF06758.12  DUF1220           Domain     1    66    66     72.0   3.4e-20   1 No_clan  
NBPF3	           320    382    320    382 PF06758.12  DUF1220           Domain     1    66    66     78.7   2.8e-22   1 No_clan  
NBPF3	           394    457    392    457 PF06758.12  DUF1220           Domain     3    66    66     80.1   1.1e-22   1 No_clan  
NBPF3	           467    532    467    532 PF06758.12  DUF1220           Domain     1    66    66     94.8   2.6e-27   1 No_clan  
NBPF3	           542    607    542    607 PF06758.12  DUF1220           Domain     1    66    66     89.4   1.3e-25   1 No_clan  
NBPF3	           178    240    178    240 PF06758.12  DUF1220           Domain     1    66    66     72.2     3e-20   1 No_clan  
NBPF3	           264    326    264    326 PF06758.12  DUF1220           Domain     1    66    66     78.9   2.4e-22   1 No_clan  
NBPF3	           338    401    336    401 PF06758.12  DUF1220           Domain     3    66    66     80.2   9.3e-23   1 No_clan  
NBPF3	           411    476    411    476 PF06758.12  DUF1220           Domain     1    66    66     95.0   2.3e-27   1 No_clan  
NBPF3	           486    551    486    551 PF06758.12  DUF1220           Domain     1    66    66     89.6   1.1e-25   1 No_clan  
NOTUM	               3    197      1    198 PF03283.12  PAE               Family    68   251   355    182.0   1.6e-53   1 CL0028   
NOTUM	            83    290     81    295 PF03283.12  PAE               Family     3   212   355    219.5   6.4e-65   1 CL0028   
NOTUM	            83    417     81    419 PF03283.12  PAE               Family     3   353   355    288.2   8.1e-86   1 CL0028   
NUDT16	              5     66      1     97 PF00293.27  NUDIX             Domain    27    89   131     26.3   5.7e-06   1 CL0261   
NUDT16	           45    112     34    141 PF00293.27  NUDIX             Domain    17    89   131     28.3   1.4e-06   1 CL0261   
NUDT16	           45    112     34    136 PF00293.27  NUDIX             Domain    17    89   131     27.7   2.1e-06   1 CL0261   
NUDT2	              22    129     12    137 PF00293.27  NUDIX             Domain    13   121   131     77.5   8.3e-22   1 CL0261   
NUTM1	              14    533     14    581 PF12881.6   NUT               Family     1   547   740    740.4  2.3e-222   1 No_clan  
NUTM1	             907   1129    899   1129 PF12881.6   NUT               Family   522   740   740    186.8   6.4e-55   1 No_clan  
NUTM1	            42    561     42    609 PF12881.6   NUT               Family     1   547   740    740.3  2.5e-222   1 No_clan  
NUTM1	           935   1157    927   1157 PF12881.6   NUT               Family   522   740   740    186.7   6.7e-55   1 No_clan  
