gene	symbol	cg	id	trx	species	coverage	omega	dN	dS
FBgn0003495_FBtr0085137	spz	CG6134	FBgn0003495	FBtr0085137	Dmel_Dsim	92.876	0.1970	0.0274	0.1390
FBgn0003502_FBtr0079617	Btk29A	CG8049	FBgn0003502	FBtr0079617	Dmel_Dsim	99.682	0.0160	0.0011	0.0706
FBgn0003507_FBtr0083215	srp	CG3992	FBgn0003507	FBtr0083215	Dmel_Dsim	95.035	0.3294	0.0256	0.0778
FBgn0003510_FBtr0085557	Sry-alpha	CG17957	FBgn0003510	FBtr0085557	Dmel_Dsim	100.000	0.1208	0.0146	0.1213
FBgn0003511_FBtr0346861	Sry-beta	CG7938	FBgn0003511	FBtr0346861	Dmel_Dsim	100.000	0.0342	0.0065	0.1914
FBgn0003512_FBtr0085558	Sry-delta	CG17958	FBgn0003512	FBtr0085558	Dmel_Dsim	99.310	0.0307	0.0063	0.2053
FBgn0003513_FBtr0306027	ss	CG6993	FBgn0003513	FBtr0306027	Dmel_Dsim	98.873	0.0193	0.0018	0.0917
FBgn0003514_FBtr0339502	sqh	CG3595	FBgn0003514	FBtr0339502	Dmel_Dsim	100.000	0.0010	0.0001	0.1176
FBgn0003515_FBtr0075391	st	CG4314	FBgn0003515	FBtr0075391	Dmel_Dsim	100.000	0.0098	0.0014	0.1391
FBgn0003517_FBtr0070289	sta	CG14792	FBgn0003517	FBtr0070289	Dmel_Dsim	100.000	0.0010	0.0001	0.1246
FBgn0003520_FBtr0086783	stau	CG5753	FBgn0003520	FBtr0086783	Dmel_Dsim	98.409	0.1402	0.0132	0.0940
FBgn0003525_FBtr0334867	stg	CG1395	FBgn0003525	FBtr0334867	Dmel_Dsim	100.000	0.0379	0.0043	0.1127
FBgn0003527_FBtr0087825	stil	CG8592	FBgn0003527	FBtr0087825	Dmel_Dsim	98.920	0.2317	0.0212	0.0916
FBgn0003545_FBtr0086881	sub	CG12298	FBgn0003545	FBtr0086881	Dmel_Dsim	100.000	0.0118	0.0020	0.1737
FBgn0003557_FBtr0334778	Su(dx)	CG4244	FBgn0003557	FBtr0334778	Dmel_Dsim	100.000	0.0143	0.0014	0.1003
FBgn0003567_FBtr0082945	su(Hw)	CG8573	FBgn0003567	FBtr0082945	Dmel_Dsim	99.364	0.0667	0.0107	0.1603
FBgn0003598_FBtr0082736	Su(var)3-7	CG8599	FBgn0003598	FBtr0082736	Dmel_Dsim	98.248	0.3715	0.0411	0.1106
FBgn0003607_FBtr0079636	Su(var)205	CG8409	FBgn0003607	FBtr0079636	Dmel_Dsim	100.000	0.1441	0.0174	0.1205
FBgn0003612_FBtr0088570	Su(var)2-10	CG8068	FBgn0003612	FBtr0088570	Dmel_Dsim	95.259	0.3871	0.0603	0.1558
FBgn0003651_FBtr0082563	svp	CG11502	FBgn0003651	FBtr0082563	Dmel_Dsim	84.024	0.3148	0.0692	0.2199
FBgn0003655_FBtr0070922	swa	CG3429	FBgn0003655	FBtr0070922	Dmel_Dsim	99.453	0.2422	0.0333	0.1376
FBgn0003656_FBtr0301675	sws	CG2212	FBgn0003656	FBtr0301675	Dmel_Dsim	97.825	0.0610	0.0084	0.1384
FBgn0003660_FBtr0273274	Syb	CG12210	FBgn0003660	FBtr0273274	Dmel_Dsim	100.000	0.0229	0.0026	0.1153
FBgn0003676_FBtr0084290	T-cp1	CG5374	FBgn0003676	FBtr0084290	Dmel_Dsim	100.000	0.0010	0.0001	0.1223
FBgn0003683_FBtr0075112	term	CG4216	FBgn0003683	FBtr0075112	Dmel_Dsim	99.416	0.0511	0.0124	0.2425
FBgn0003687_FBtr0071679	Tbp	CG9874	FBgn0003687	FBtr0071679	Dmel_Dsim	99.292	0.0191	0.0012	0.0649
FBgn0003701_FBtr0086825	thr	CG5785	FBgn0003701	FBtr0086825	Dmel_Dsim	99.637	0.2231	0.0291	0.1303
FBgn0003710_FBtr0073220	tipE	CG1232	FBgn0003710	FBtr0073220	Dmel_Dsim	100.000	0.0294	0.0036	0.1227
FBgn0003714_FBtr0308831	tko	CG7925	FBgn0003714	FBtr0308831	Dmel_Dsim	93.506	0.1860	0.0537	0.2886
FBgn0003719_FBtr0084691	tld	CG6868	FBgn0003719	FBtr0084691	Dmel_Dsim	100.000	0.0723	0.0114	0.1574
FBgn0003720_FBtr0085709	tll	CG1378	FBgn0003720	FBtr0085709	Dmel_Dsim	100.000	0.0073	0.0010	0.1314
FBgn0003721_FBtr0089965	Tm1	CG4898	FBgn0003721	FBtr0089965	Dmel_Dsim	97.787	0.3460	0.0956	0.2764
FBgn0003731_FBtr0071654	Egfr	CG10079	FBgn0003731	FBtr0071654	Dmel_Dsim	100.000	0.0128	0.0021	0.1627
FBgn0003732_FBtr0332320	Top2	CG10223	FBgn0003732	FBtr0332320	Dmel_Dsim	99.379	0.1197	0.0175	0.1464
FBgn0003733_FBtr0088938	tor	CG1389	FBgn0003733	FBtr0088938	Dmel_Dsim	100.000	0.0881	0.0148	0.1683
FBgn0003741_FBtr0075364	tra	CG16724	FBgn0003741	FBtr0075364	Dmel_Dsim	95.685	0.2817	0.0364	0.1290
FBgn0003742_FBtr0089621	tra2	CG10128	FBgn0003742	FBtr0089621	Dmel_Dsim	99.057	0.2751	0.0317	0.1151
FBgn0003744_FBtr0332154	trc	CG8637	FBgn0003744	FBtr0332154	Dmel_Dsim	100.000	0.0010	0.0001	0.0889
FBgn0003747_FBtr0070802	Gr5a	CG15779	FBgn0003747	FBtr0070802	Dmel_Dsim	100.000	0.0877	0.0194	0.2207
FBgn0003748_FBtr0071539	Treh	CG9364	FBgn0003748	FBtr0071539	Dmel_Dsim	98.214	0.1349	0.0159	0.1182
FBgn0003861_FBtr0085513	trp	CG7875	FBgn0003861	FBtr0085513	Dmel_Dsim	98.869	0.0407	0.0035	0.0866
FBgn0003863_FBtr0088161	alphaTry	CG18444	FBgn0003863	FBtr0088161	Dmel_Dsim	99.023	0.1385	0.0716	0.5169
FBgn0003865_FBtr0073582	tsg	CG1502	FBgn0003865	FBtr0073582	Dmel_Dsim	98.795	0.0211	0.0037	0.1735
FBgn0003866_FBtr0085906	tsh	CG1374	FBgn0003866	FBtr0085906	Dmel_Dsim	100.000	0.1070	0.0078	0.0732
FBgn0003867_FBtr0084165	tsl	CG6705	FBgn0003867	FBtr0084165	Dmel_Dsim	100.000	0.0213	0.0038	0.1763
FBgn0003870_FBtr0085827	ttk	CG1856	FBgn0003870	FBtr0085827	Dmel_Dsim	100.000	0.1044	0.0105	0.1007
FBgn0003882_FBtr0302338	tub	CG10520	FBgn0003882	FBtr0302338	Dmel_Dsim	100.000	0.1830	0.0152	0.0828
FBgn0003886_FBtr0082087	alphaTub85E	CG9476	FBgn0003886	FBtr0082087	Dmel_Dsim	100.000	0.0010	0.0001	0.0854
FBgn0003887_FBtr0086537	betaTub56D	CG9277	FBgn0003887	FBtr0086537	Dmel_Dsim	98.355	0.2023	0.0197	0.0972
FBgn0003889_FBtr0082046	betaTub85D	CG9359	FBgn0003889	FBtr0082046	Dmel_Dsim	100.000	0.0010	0.0002	0.2002
FBgn0003891_FBtr0071582	tud	CG9450	FBgn0003891	FBtr0071582	Dmel_Dsim	100.000	0.2444	0.0230	0.0943
FBgn0003892_FBtr0089427	ptc	CG2411	FBgn0003892	FBtr0089427	Dmel_Dsim	100.000	0.0159	0.0020	0.1235
FBgn0003896_FBtr0342921	tup	CG10619	FBgn0003896	FBtr0342921	Dmel_Dsim	100.000	0.0010	0.0000	0.0300
FBgn0003900_FBtr0071953	twi	CG2956	FBgn0003900	FBtr0071953	Dmel_Dsim	99.491	0.0540	0.0084	0.1558
FBgn0003941_FBtr0077470	RpL40	CG2960	FBgn0003941	FBtr0077470	Dmel_Dsim	100.000	0.0010	0.0001	0.0778
FBgn0003942_FBtr0080016	RpS27A	CG5271	FBgn0003942	FBtr0080016	Dmel_Dsim	100.000	0.0010	0.0000	0.0151
FBgn0003950_FBtr0077259	unc	CG1501	FBgn0003950	FBtr0077259	Dmel_Dsim	98.640	0.4478	0.0473	0.1056
FBgn0003961_FBtr0079486	Uro	CG7171	FBgn0003961	FBtr0079486	Dmel_Dsim	99.290	0.0469	0.0062	0.1329
FBgn0003964_FBtr0333803	usp	CG4380	FBgn0003964	FBtr0333803	Dmel_Dsim	99.311	0.0169	0.0017	0.1005
FBgn0003965_FBtr0073386	v	CG2155	FBgn0003965	FBtr0073386	Dmel_Dsim	100.000	0.0066	0.0011	0.1689
FBgn0003969_FBtr0074141	vap	CG9209	FBgn0003969	FBtr0074141	Dmel_Dsim	100.000	0.0010	0.0001	0.0824
FBgn0003975_FBtr0087785	vg	CG3830	FBgn0003975	FBtr0087785	Dmel_Dsim	100.000	0.0518	0.0030	0.0573
FBgn0003979_FBtr0333232	Vm26Aa	CG9048	FBgn0003979	FBtr0333232	Dmel_Dsim	100.000	0.0010	0.0001	0.0512
FBgn0003980_FBtr0345439	Vm26Ab	CG9046	FBgn0003980	FBtr0345439	Dmel_Dsim	94.324	0.2196	0.0210	0.0956
FBgn0003984_FBtr0077082	vn	CG10491	FBgn0003984	FBtr0077082	Dmel_Dsim	98.475	0.1190	0.0070	0.0588
FBgn0003996_FBtr0070490	w	CG2759	FBgn0003996	FBtr0070490	Dmel_Dsim	66.448	0.0152	0.0020	0.1308
FBgn0003997_FBtr0075133	hid	CG5123	FBgn0003997	FBtr0075133	Dmel_Dsim	100.000	0.1545	0.0076	0.0489
FBgn0004003_FBtr0086510	wbl	CG7225	FBgn0004003	FBtr0086510	Dmel_Dsim	100.000	0.1263	0.0089	0.0708
FBgn0004028_FBtr0074524	wupA	CG7178	FBgn0004028	FBtr0074524	Dmel_Dsim	87.918	0.2671	0.0627	0.2346
FBgn0004045_FBtr0071419	Yp1	CG2985	FBgn0004045	FBtr0071419	Dmel_Dsim	100.000	0.0424	0.0037	0.0871
FBgn0004049_FBtr0082793	yrt	CG9764	FBgn0004049	FBtr0082793	Dmel_Dsim	99.184	0.0464	0.0042	0.0913
FBgn0004052_FBtr0075549	Z600	CG17962	FBgn0004052	FBtr0075549	Dmel_Dsim	100.000	0.0516	0.0139	0.2696
FBgn0004053_FBtr0081670	zen	CG1046	FBgn0004053	FBtr0081670	Dmel_Dsim	99.150	0.1254	0.0223	0.1777
FBgn0004054_FBtr0081671	zen2	CG1048	FBgn0004054	FBtr0081671	Dmel_Dsim	100.000	0.3543	0.0469	0.1324
FBgn0004055_FBtr0072397	uzip	CG3533	FBgn0004055	FBtr0072397	Dmel_Dsim	100.000	0.0722	0.0066	0.0908
FBgn0004087_FBtr0083295	Dhfr	CG14887	FBgn0004087	FBtr0083295	Dmel_Dsim	100.000	0.0644	0.0096	0.1483
FBgn0004101_FBtr0343314	bs	CG3411	FBgn0004101	FBtr0343314	Dmel_Dsim	100.000	0.0444	0.0047	0.1069
FBgn0004102_FBtr0331737	oc	CG12154	FBgn0004102	FBtr0331737	Dmel_Dsim	98.634	0.0118	0.0024	0.2064
FBgn0004106_FBtr0080051	Cdk1	CG5363	FBgn0004106	FBtr0080051	Dmel_Dsim	100.000	0.0010	0.0001	0.0781
FBgn0004107_FBtr0083922	Cdk2	CG10498	FBgn0004107	FBtr0083922	Dmel_Dsim	100.000	0.0366	0.0042	0.1147
FBgn0004108_FBtr0075322	Nrt	CG9704	FBgn0004108	FBtr0075322	Dmel_Dsim	100.000	0.0129	0.0011	0.0842
FBgn0004110_FBtr0084086	tin	CG7895	FBgn0004110	FBtr0084086	Dmel_Dsim	99.399	0.0421	0.0051	0.1221
FBgn0004117_FBtr0083080	Tm2	CG4843	FBgn0004117	FBtr0083080	Dmel_Dsim	100.000	0.1146	0.0255	0.2226
FBgn0004118_FBtr0084681	nAChRbeta2	CG6798	FBgn0004118	FBtr0084681	Dmel_Dsim	100.000	0.0010	0.0001	0.0600
FBgn0004132_FBtr0088953	boca	CG30498	FBgn0004132	FBtr0088953	Dmel_Dsim	100.000	0.0188	0.0045	0.2416
FBgn0004133_FBtr0310050	blow	CG1363	FBgn0004133	FBtr0310050	Dmel_Dsim	98.835	0.0628	0.0097	0.1552
FBgn0004167_FBtr0300017	kst	CG12008	FBgn0004167	FBtr0300017	Dmel_Dsim	99.942	0.0197	0.0023	0.1157
FBgn0004169_FBtr0073851	up	CG7107	FBgn0004169	FBtr0073851	Dmel_Dsim	100.000	0.4659	0.0279	0.0598
FBgn0004170_FBtr0070073	sc	CG3827	FBgn0004170	FBtr0070073	Dmel_Dsim	99.277	0.1053	0.0105	0.0997
FBgn0004177_FBtr0079525	mts	CG7109	FBgn0004177	FBtr0079525	Dmel_Dsim	100.000	0.0010	0.0001	0.0608
FBgn0004179_FBtr0078494	Csp	CG6395	FBgn0004179	FBtr0078494	Dmel_Dsim	94.834	0.1965	0.0202	0.1028
FBgn0004181_FBtr0072454	Peb	CG2668	FBgn0004181	FBtr0072454	Dmel_Dsim	91.563	0.3712	0.0330	0.0889
FBgn0004197_FBtr0085128	Ser	CG6127	FBgn0004197	FBtr0085128	Dmel_Dsim	99.752	0.0550	0.0041	0.0744
FBgn0004198_FBtr0114613	ct	CG11387	FBgn0004198	FBtr0114613	Dmel_Dsim	94.482	0.1906	0.0196	0.1031
FBgn0004228_FBtr0303786	mex1	CG7936	FBgn0004228	FBtr0303786	Dmel_Dsim	100.000	0.0010	0.0001	0.0532
FBgn0004240_FBtr0086620	Dpt	CG12763	FBgn0004240	FBtr0086620	Dmel_Dsim	86.331	0.3455	0.0399	0.1155
FBgn0004242_FBtr0077726	Syt1	CG3139	FBgn0004242	FBtr0077726	Dmel_Dsim	91.899	0.3592	0.0620	0.1726
FBgn0004244_FBtr0333836	Rdl	CG10537	FBgn0004244	FBtr0333836	Dmel_Dsim	100.000	0.1435	0.0136	0.0949
FBgn0004359_FBtr0336724	T48	CG5507	FBgn0004359	FBtr0336724	Dmel_Dsim	97.811	0.0243	0.0030	0.1244
FBgn0004360_FBtr0088512	Wnt2	CG1916	FBgn0004360	FBtr0088512	Dmel_Dsim	100.000	0.0101	0.0012	0.1217
FBgn0004362_FBtr0345487	HmgD	CG17950	FBgn0004362	FBtr0345487	Dmel_Dsim	100.000	0.0010	0.0001	0.0922
FBgn0004363_FBtr0100584	porin	CG6647	FBgn0004363	FBtr0100584	Dmel_Dsim	100.000	0.0010	0.0001	0.0504
FBgn0004368_FBtr0301796	Ptp4E	CG6899	FBgn0004368	FBtr0301796	Dmel_Dsim	98.985	0.0533	0.0069	0.1290
FBgn0004369_FBtr0303148	Ptp99A	CG11516	FBgn0004369	FBtr0303148	Dmel_Dsim	99.501	0.0277	0.0022	0.0804
FBgn0004372_FBtr0073006	aly	CG2075	FBgn0004372	FBtr0073006	Dmel_Dsim	98.947	0.2815	0.0353	0.1254
FBgn0004373_FBtr0072515	fwd	CG7004	FBgn0004373	FBtr0072515	Dmel_Dsim	98.913	0.1009	0.0075	0.0744
FBgn0004374_FBtr0081332	neb	CG10718	FBgn0004374	FBtr0081332	Dmel_Dsim	100.000	0.0646	0.0078	0.1210
FBgn0004378_FBtr0072733	Klp61F	CG9191	FBgn0004378	FBtr0072733	Dmel_Dsim	100.000	0.0989	0.0139	0.1402
FBgn0004379_FBtr0346530	Klp67A	CG10923	FBgn0004379	FBtr0346530	Dmel_Dsim	99.140	0.0358	0.0049	0.1358
FBgn0004380_FBtr0077157	Klp64D	CG10642	FBgn0004380	FBtr0077157	Dmel_Dsim	100.000	0.0113	0.0019	0.1639
FBgn0004381_FBtr0076030	Klp68D	CG7293	FBgn0004381	FBtr0076030	Dmel_Dsim	100.000	0.0232	0.0039	0.1701
FBgn0004387_FBtr0085211	Klp98A	CG5658	FBgn0004387	FBtr0085211	Dmel_Dsim	100.000	0.0282	0.0034	0.1223
FBgn0004389_FBtr0085754	bnk	CG1480	FBgn0004389	FBtr0085754	Dmel_Dsim	100.000	0.0517	0.0082	0.1582
FBgn0004391_FBtr0074077	shtd	CG9198	FBgn0004391	FBtr0074077	Dmel_Dsim	99.828	0.1269	0.0150	0.1182
FBgn0004394_FBtr0080392	pdm2	CG12287	FBgn0004394	FBtr0080392	Dmel_Dsim	98.714	0.1252	0.0090	0.0718
FBgn0004395_FBtr0347570	unk	CG4620	FBgn0004395	FBtr0347570	Dmel_Dsim	99.629	0.1561	0.0085	0.0548
FBgn0004396_FBtr0075557	CrebA	CG7450	FBgn0004396	FBtr0075557	Dmel_Dsim	98.651	0.0960	0.0052	0.0542
FBgn0004401_FBtr0075199	Pep	CG6143	FBgn0004401	FBtr0075199	Dmel_Dsim	100.000	0.0610	0.0060	0.0990
FBgn0004403_FBtr0071094	RpS14a	CG1524	FBgn0004403	FBtr0071094	Dmel_Dsim	100.000	0.0010	0.0002	0.1615
FBgn0004404_FBtr0071096	RpS14b	CG1527	FBgn0004404	FBtr0071096	Dmel_Dsim	100.000	0.0010	0.0002	0.2146
FBgn0004406_FBtr0080571	tam	CG8987	FBgn0004406	FBtr0080571	Dmel_Dsim	100.000	0.0512	0.0099	0.1926
FBgn0004419_FBtr0079975	me31B	CG4916	FBgn0004419	FBtr0079975	Dmel_Dsim	100.000	0.0430	0.0019	0.0447
FBgn0004430_FBtr0072631	LysS	CG1165	FBgn0004430	FBtr0072631	Dmel_Dsim	100.000	0.0411	0.0090	0.2196
FBgn0004431_FBtr0072637	LysX	CG9120	FBgn0004431	FBtr0072637	Dmel_Dsim	93.750	0.2499	0.0301	0.1206
FBgn0004432_FBtr0074238	Cyp1	CG9916	FBgn0004432	FBtr0074238	Dmel_Dsim	100.000	0.0322	0.0036	0.1132
FBgn0004435_FBtr0333101	Galphaq	CG17759	FBgn0004435	FBtr0333101	Dmel_Dsim	100.000	0.0010	0.0000	0.0191
FBgn0004436_FBtr0078849	Ubc6	CG2013	FBgn0004436	FBtr0078849	Dmel_Dsim	100.000	0.0010	0.0001	0.0679
FBgn0004463_FBtr0087977	RpIII128	CG8344	FBgn0004463	FBtr0087977	Dmel_Dsim	100.000	0.0088	0.0015	0.1735
FBgn0004465_FBtr0075359	Su(P)	CG4086	FBgn0004465	FBtr0075359	Dmel_Dsim	99.402	0.0489	0.0096	0.1953
FBgn0004507_FBtr0077828	GlyP	CG7254	FBgn0004507	FBtr0077828	Dmel_Dsim	100.000	0.0086	0.0009	0.1094
FBgn0004509_FBtr0336806	Fur1	CG10772	FBgn0004509	FBtr0336806	Dmel_Dsim	99.797	0.0903	0.0085	0.0936
FBgn0004511_FBtr0073612	dy	CG9355	FBgn0004511	FBtr0073612	Dmel_Dsim	99.286	0.0173	0.0025	0.1426
FBgn0004512_FBtr0087801	Mdr49	CG3879	FBgn0004512	FBtr0087801	Dmel_Dsim	100.000	0.0320	0.0035	0.1090
FBgn0004513_FBtr0077011	Mdr65	CG10181	FBgn0004513	FBtr0077011	Dmel_Dsim	100.000	0.0191	0.0032	0.1667
FBgn0004514_FBtr0078479	Oct-TyrR	CG7485	FBgn0004514	FBtr0078479	Dmel_Dsim	100.000	0.0691	0.0105	0.1525
FBgn0004516_FBtr0073277	Gad1	CG14994	FBgn0004516	FBtr0073277	Dmel_Dsim	100.000	0.0010	0.0001	0.1132
FBgn0004552_FBtr0073213	Akh	CG1171	FBgn0004552	FBtr0073213	Dmel_Dsim	100.000	0.0862	0.0112	0.1297
FBgn0004556_FBtr0075347	Dbp73D	CG9680	FBgn0004556	FBtr0075347	Dmel_Dsim	100.000	0.2056	0.0231	0.1124
FBgn0004569_FBtr0075408	aos	CG4531	FBgn0004569	FBtr0075408	Dmel_Dsim	100.000	0.0506	0.0072	0.1419
FBgn0004573_FBtr0334508	5-HT7	CG12073	FBgn0004573	FBtr0334508	Dmel_Dsim	98.936	0.0070	0.0008	0.1144
FBgn0004574_FBtr0310632	Rop	CG15811	FBgn0004574	FBtr0310632	Dmel_Dsim	97.152	0.0061	0.0007	0.1192
FBgn0004577_FBtr0089287	Pxd	CG3477	FBgn0004577	FBtr0089287	Dmel_Dsim	100.000	0.0312	0.0047	0.1498
FBgn0004580_FBtr0087056	Cbp53E	CG6702	FBgn0004580	FBtr0087056	Dmel_Dsim	98.726	0.0010	0.0001	0.0616
FBgn0004583_FBtr0078059	ex	CG4114	FBgn0004583	FBtr0078059	Dmel_Dsim	99.405	0.0725	0.0058	0.0800
FBgn0004587_FBtr0308195	B52	CG10851	FBgn0004587	FBtr0308195	Dmel_Dsim	99.298	0.0010	0.0001	0.0971
FBgn0004592_FBtr0075585	Eig71Ee	CG7604	FBgn0004592	FBtr0075585	Dmel_Dsim	83.708	0.5100	0.0777	0.1524
FBgn0004594_FBtr0075573	Eig71Eg	CG7336	FBgn0004594	FBtr0075573	Dmel_Dsim	100.000	0.6388	0.0506	0.0792
FBgn0004597_FBtr0083010	CycC	CG7281	FBgn0004597	FBtr0083010	Dmel_Dsim	100.000	0.0010	0.0002	0.1797
FBgn0004598_FBtr0074265	Fur2	CG18734	FBgn0004598	FBtr0074265	Dmel_Dsim	99.259	0.1194	0.0083	0.0691
FBgn0004607_FBtr0089070	zfh2	CG1449	FBgn0004607	FBtr0089070	Dmel_Dsim	99.076	0.2355	0.0188	0.0800
FBgn0004611_FBtr0078050	Plc21C	CG4574	FBgn0004611	FBtr0078050	Dmel_Dsim	100.000	0.0509	0.0040	0.0791
FBgn0004619_FBtr0076982	GluRIA	CG8442	FBgn0004619	FBtr0076982	Dmel_Dsim	99.748	0.0389	0.0037	0.0950
FBgn0004620_FBtr0079106	GluRIIA	CG6992	FBgn0004620	FBtr0079106	Dmel_Dsim	100.000	0.0200	0.0032	0.1627
FBgn0004623_FBtr0074949	Gbeta76C	CG8770	FBgn0004623	FBtr0074949	Dmel_Dsim	100.000	0.0010	0.0001	0.0804
FBgn0004635_FBtr0072694	rho	CG1004	FBgn0004635	FBtr0072694	Dmel_Dsim	100.000	0.0379	0.0083	0.2191
FBgn0004636_FBtr0072867	R	CG1956	FBgn0004636	FBtr0072867	Dmel_Dsim	100.000	0.0010	0.0001	0.0755
FBgn0004638_FBtr0087694	drk	CG6033	FBgn0004638	FBtr0087694	Dmel_Dsim	100.000	0.0010	0.0000	0.0235
FBgn0004643_FBtr0070441	Zw10	CG9900	FBgn0004643	FBtr0070441	Dmel_Dsim	100.000	0.0826	0.0104	0.1264
FBgn0004644_FBtr0100506	hh	CG4637	FBgn0004644	FBtr0100506	Dmel_Dsim	98.214	0.0484	0.0055	0.1147
FBgn0004646_FBtr0071037	ogre	CG3039	FBgn0004646	FBtr0071037	Dmel_Dsim	100.000	0.0132	0.0022	0.1698
FBgn0004647_FBtr0304659	N	CG3936	FBgn0004647	FBtr0304659	Dmel_Dsim	99.630	0.0080	0.0028	0.3488
FBgn0004648_FBtr0070087	svr	CG4122	FBgn0004648	FBtr0070087	Dmel_Dsim	100.000	0.0803	0.0088	0.1093
FBgn0004650_FBtr0070207	fs(1)N	CG11411	FBgn0004650	FBtr0070207	Dmel_Dsim	99.646	0.2609	0.0254	0.0974
FBgn0004652_FBtr0301284	fru	CG14307	FBgn0004652	FBtr0301284	Dmel_Dsim	99.012	0.0481	0.0033	0.0679
FBgn0004654_FBtr0070384	Pgd	CG3724	FBgn0004654	FBtr0070384	Dmel_Dsim	100.000	0.0341	0.0061	0.1783
FBgn0004657_FBtr0340135	mys	CG1560	FBgn0004657	FBtr0340135	Dmel_Dsim	99.291	0.1516	0.0266	0.1753
FBgn0004666_FBtr0082710	sim	CG7771	FBgn0004666	FBtr0082710	Dmel_Dsim	97.704	0.0712	0.0048	0.0671
FBgn0004687_FBtr0308579	Mlc-c	CG3201	FBgn0004687	FBtr0308579	Dmel_Dsim	100.000	0.0010	0.0002	0.2455
FBgn0004698_FBtr0087373	Xpc	CG8153	FBgn0004698	FBtr0087373	Dmel_Dsim	99.692	0.1225	0.0138	0.1125
FBgn0004777_FBtr0081689	Ccp84Ag	CG2342	FBgn0004777	FBtr0081689	Dmel_Dsim	100.000	0.0822	0.0072	0.0871
FBgn0004778_FBtr0081695	Ccp84Af	CG1331	FBgn0004778	FBtr0081695	Dmel_Dsim	100.000	0.0973	0.0116	0.1188
FBgn0004779_FBtr0081694	Ccp84Ae	CG1330	FBgn0004779	FBtr0081694	Dmel_Dsim	98.317	0.1183	0.0128	0.1079
FBgn0004780_FBtr0081690	Ccp84Ad	CG2341	FBgn0004780	FBtr0081690	Dmel_Dsim	81.095	0.0733	0.0725	0.9883
FBgn0004781_FBtr0081693	Ccp84Ac	CG1327	FBgn0004781	FBtr0081693	Dmel_Dsim	100.000	0.0558	0.0102	0.1835
FBgn0004782_FBtr0081692	Ccp84Ab	CG1252	FBgn0004782	FBtr0081692	Dmel_Dsim	81.900	0.1725	0.1169	0.6778
FBgn0004783_FBtr0081691	Ccp84Aa	CG2360	FBgn0004783	FBtr0081691	Dmel_Dsim	83.415	0.1646	0.0959	0.5825
FBgn0004784_FBtr0087047	inaC	CG6518	FBgn0004784	FBtr0087047	Dmel_Dsim	100.000	0.0374	0.0051	0.1372
FBgn0004795_FBtr0072073	retn	CG5403	FBgn0004795	FBtr0072073	Dmel_Dsim	98.361	0.0610	0.0056	0.0917
FBgn0004797_FBtr0347182	mdy	CG31991	FBgn0004797	FBtr0347182	Dmel_Dsim	100.000	0.0095	0.0016	0.1660
FBgn0004811_FBtr0081316	fs(2)ltoPP43	CG10528	FBgn0004811	FBtr0081316	Dmel_Dsim	97.411	0.1723	0.0218	0.1267
FBgn0004837_FBtr0346621	Su(H)	CG3497	FBgn0004837	FBtr0346621	Dmel_Dsim	99.160	0.0077	0.0008	0.0976
FBgn0004838_FBtr0079348	Hrb27C	CG10377	FBgn0004838	FBtr0079348	Dmel_Dsim	100.000	0.0491	0.0031	0.0634
FBgn0004839_FBtr0088028	otk	CG8967	FBgn0004839	FBtr0088028	Dmel_Dsim	99.710	0.0278	0.0048	0.1734
FBgn0004841_FBtr0112789	TkR86C	CG6515	FBgn0004841	FBtr0112789	Dmel_Dsim	99.459	0.0371	0.0031	0.0847
FBgn0004842_FBtr0345267	RYa-R	CG5811	FBgn0004842	FBtr0345267	Dmel_Dsim	99.234	0.3456	0.0459	0.1329
FBgn0004852_FBtr0304746	Ac76E	CG7978	FBgn0004852	FBtr0304746	Dmel_Dsim	99.772	0.0615	0.0059	0.0959
FBgn0004854_FBtr0074429	B-H2	CG5488	FBgn0004854	FBtr0074429	Dmel_Dsim	73.023	0.0334	0.0060	0.1779
FBgn0004855_FBtr0346348	RpII15	CG3284	FBgn0004855	FBtr0346348	Dmel_Dsim	100.000	0.0010	0.0002	0.2204
FBgn0004856_FBtr0071350	Bx42	CG8264	FBgn0004856	FBtr0071350	Dmel_Dsim	100.000	0.0835	0.0048	0.0576
FBgn0004858_FBtr0342915	elB	CG4220	FBgn0004858	FBtr0342915	Dmel_Dsim	99.096	0.0449	0.0035	0.0777
FBgn0004859_FBtr0089178	ci	CG2125	FBgn0004859	FBtr0089178	Dmel_Dsim	98.967	0.2404	0.0266	0.1105
FBgn0004860_FBtr0070433	ph-d	CG3895	FBgn0004860	FBtr0070433	Dmel_Dsim	94.851	0.2292	0.0606	0.2644
FBgn0004861_FBtr0070432	ph-p	CG18412	FBgn0004861	FBtr0070432	Dmel_Dsim	98.808	0.1289	0.0135	0.1045
FBgn0004862_FBtr0084087	bap	CG7902	FBgn0004862	FBtr0084087	Dmel_Dsim	100.000	0.0668	0.0091	0.1365
FBgn0004863_FBtr0084111	C15	CG7937	FBgn0004863	FBtr0084111	Dmel_Dsim	98.529	0.0010	0.0002	0.1523
FBgn0004867_FBtr0345436	RpS2	CG5920	FBgn0004867	FBtr0345436	Dmel_Dsim	100.000	0.0962	0.0067	0.0694
FBgn0004868_FBtr0306169	Gdi	CG4422	FBgn0004868	FBtr0306169	Dmel_Dsim	100.000	0.0077	0.0009	0.1195
