"Gene_name","dN","dS","micro-synteny","tag"
"YDL199C",0.085475,0.829075,"NO","yeast"
"GGC1",0.019325,0.559575,"NO","yeast"
"ASF2",0.28215,0.832825,"NO","yeast"
"YDL196W",0.245325,0.157275,"NO","yeast"
"SEC31",0.05675,0.61835,"NO","yeast"
"SNF3",0.074525,0.961625,"NO","yeast"
"NUS1",0.05545,0.4956,"YES","yeast"
"ERP1",0.047025,0.93215,"NO","yeast"
"ARF1",0.00185,0.25405,"NO","yeast"
"RPL35A",0.01895,0.193725,"NO","yeast"
"UFD2",0.028875,1.059125,"NO","yeast"
"RBS1",0.133775,0.735475,"NO","yeast"
"PPH22",0.021925,0.86055,"NO","yeast"
"YDL186W",0.089975,1.107825,"YES","yeast"
"YDL185C-A",0.056275,0.14805,"NO","yeast"
"VMA1",0.00645,0.46795,"NO","yeast"
"YDL183C",0.087025,0.83065,"NO","yeast"
"LYS20",0.012125,0.67295,"NO","yeast"
"SWD1",0.04005,0.762925,"NO","yeast"
"INH1",0.013775,0.6316,"NO","yeast"
"YDL180W",0.1087,0.679425,"NO","yeast"
"PCL9",0.1407,0.683575,"NO","yeast"
"DLD2",0.03845,0.762325,"NO","yeast"
"YDL177C",0.092875,0.664125,"YES","yeast"
"YDL176W",0.054275,0.86925,"YES","yeast"
"AIR2",0.0687,0.903825,"YES","yeast"
"DLD1",0.04225,0.7981,"YES","yeast"
"PAR32",0.0689,0.898675,"YES","yeast"
"GLT1",0.0155,0.7142,"YES","yeast"
"RFA1",0.02025,0.63195,"NO","yeast"
"UGA3",0.05305,0.5605,"NO","yeast"
"UGX2",0.129475,1.029075,"NO","yeast"
"SFA1",0.02905,0.897075,"NO","yeast"
"NRP1",0.102025,0.734475,"NO","yeast"
"FAP7",0.0374,0.730275,"NO","yeast"
"CDC36",0.0071,0.5136,"YES","yeast"
"CDC9",0.0606,1.047925,"YES","yeast"
"ENT1",0.034075,1.098625,"YES","yeast"
"MHF2",0.153575,0.84085,"YES","yeast"
"DHH1",0.0121,0.62655,"NO","yeast"
"SEN34",0.0764,0.72005,"NO","yeast"
"STE7",0.04275,0.7964,"NO","yeast"
"YDL157C",0.0396,0.567725,"NO","yeast"
"CMR1",0.0504,0.90015,"YES","yeast"
"CLB3",0.0735,0.6767,"YES","yeast"
"MSH5",0.12625,0.949575,"YES","yeast"
"SAS10",0.0792,0.798175,"NO","yeast"
"RPC53",0.07515,0.775475,"NO","yeast"
"ATG9",0.080175,1.073625,"NO","yeast"
"NOP14",0.0713,0.718825,"YES","yeast"
"RPN5",0.032425,0.608025,"YES","yeast"
"ADE1",0.02205,0.621,"NO","yeast"
"LDB17",0.0656,0.777375,"YES","yeast"
"COP1",0.026425,0.767,"YES","yeast"
"YDL144C",0.075525,1.01535,"YES","yeast"
"CCT4",0.010225,0.59245,"NO","yeast"
"CRD1",0.120725,0.5552,"NO","yeast"
"BPL1",0.05,0.768225,"NO","yeast"
"RPO21",0.0068,0.2657,"YES","yeast"
"SCM3",0.140125,0.57935,"NO","yeast"
"RGT2",0.078025,0.778575,"YES","yeast"
"ARF2",0.0025,0.598375,"NO","yeast"
"KIN3",0.0218,0.65645,"YES","yeast"
"RPL35B",0.0135,0.152925,"NO","yeast"
"RDI1",0.0132,0.693825,"NO","yeast"
"PPH21",0.0148,0.80005,"NO","yeast"
"SRF1",0.064725,2.23615,"NO","yeast"
"CDC53",0.024775,0.62915,"YES","yeast"
"LYS21",0.0174,0.529925,"NO","yeast"
"STF1",0.049825,0.756475,"NO","yeast"
"RPP1B",0.0233,0.304675,"NO","yeast"
"YDL129W",0.1176,0.6061,"NO","yeast"
"VCX1",0.029325,0.755175,"NO","yeast"
"CDC15",0.070625,0.6583,"NO","yeast"
"PCL2",0.098375,0.63405,"NO","yeast"
"CDC48",0.00605,0.69975,"NO","yeast"
"HNT1",0.02045,0.625225,"NO","yeast"
"YDL124W",0.13005,0.5987,"NO","yeast"
"SNA4",0.083225,0.635625,"NO","yeast"
"UBP1",0.067225,0.754675,"NO","yeast"
"YDL121C",0.09745,1.003,"NO","yeast"
"YFH1",0.09255,0.4944,"YES","yeast"
"YDL119C",0.05325,0.847775,"NO","yeast"
"CYK3",0.05675,0.89335,"NO","yeast"
"PAU18",0.0459,0.58125,"NO","yeast"
"NUP84",0.072925,0.729825,"NO","yeast"
"IWR1",0.09425,0.735025,"YES","yeast"
"YDL114W",0.127875,0.858075,"NO","yeast"
"ATG20",0.06385,0.751025,"NO","yeast"
"TRM3",0.1192,0.760525,"YES","yeast"
"TMA17",0.035,0.956,"NO","yeast"
"YDL109C",0.12925,0.71235,"NO","yeast"
"KIN28",0.014125,1.413025,"NO","yeast"
"MSS2",0.133875,0.799175,"NO","yeast"
"MIX23",0.10995,0.950075,"NO","yeast"
"PHO2",0.055025,0.721125,"NO","yeast"
"NSE4",0.079225,0.6417,"NO","yeast"
"QRI7",0.091325,0.965475,"NO","yeast"
"QRI1",0.0591,0.7098,"NO","yeast"
"POL3",0.016525,1.211675,"YES","yeast"
"DUN1",0.046925,0.728075,"YES","yeast"
"GET3",0.0163,0.6287,"YES","yeast"
"BUG1",0.21885,0.877675,"YES","yeast"
"SNU23",0.126,0.661825,"YES","yeast"
"RPN6",0.017525,0.6281,"NO","yeast"
"SRO77",0.08275,1.0887,"YES","yeast"
"GPB2",0.097275,0.793275,"YES","yeast"
"PMT1",0.029725,0.53865,"NO","yeast"
"PMT1",0.085,0.8366,"NO","yeast"
"SRP14",0.082,0.575625,"NO","yeast"
"UBX3",0.0848,0.837725,"NO","yeast"
"RAM1",0.094425,0.862675,"NO","yeast"
"NUR1",0.1786,0.71285,"NO","yeast"
"ASM4",0.14785,0.8938,"YES","yeast"
"LUC7",0.047375,0.60245,"YES","yeast"
"YDL086W",0.014525,0.8646,"NO","yeast"
"SEA4",0.0427,1.37205,"YES","yeast"
"NDE2",0.0392,0.96535,"NO","yeast"
"SUB2",0.0037,0.46755,"NO","yeast"
"RPS16B",0.000825,0.161025,"NO","yeast"
"RPL13A",0.01115,0.254325,"NO","yeast"
"RPP1A",0.02995,0.183425,"NO","yeast"
"THI3",0.020175,0.75025,"YES","yeast"
"MRK1",0.094575,0.541075,"NO","yeast"
"MDH3",0.032525,0.656875,"YES","yeast"
"VAM6",0.0734,0.69225,"YES","yeast"
"RXT3",0.111975,0.711375,"NO","yeast"
"RTG3",0.06455,0.735725,"YES","yeast"
"RPL31A",0.00515,0.0863,"NO","yeast"
"BRE1",0.070475,0.76425,"NO","yeast"
"YDL073W",0.1254,0.768,"NO","yeast"
"YET3",0.035975,0.520625,"NO","yeast"
"YDL071C",0.2178,0.455725,"NO","yeast"
"BDF2",0.0761,0.423575,"NO","yeast"
"CBS1",0.1787,0.72085,"NO","yeast"
"COX9",0.0195,0.341025,"NO","yeast"
"IDP1",0.01295,0.5834,"NO","yeast"
"PEX19",0.11825,0.8607,"NO","yeast"
"SFT2",0.02865,0.6851,"YES","yeast"
"UBC9",0.0066,0.339275,"NO","yeast"
"SYO1",0.083525,0.794975,"NO","yeast"
"TSR1",0.0574,0.6574,"NO","yeast"
"RAD59",0.088275,0.5886,"NO","yeast"
"USO1",0.152675,0.81565,"NO","yeast"
"YDL057W",0.13705,0.992525,"NO","yeast"
"MBP1",0.061575,0.755725,"YES","yeast"
"PSA1",0.0065,0.46345,"NO","yeast"
"MCH1",0.06775,0.788225,"NO","yeast"
"ECM21",0.0756,0.7902,"NO","yeast"
"PBP4",0.109425,0.60835,"NO","yeast"
"SLC1",0.06675,0.5196,"NO","yeast"
"LHP1",0.028425,0.4263,"NO","yeast"
"KNH1",0.0741,0.792075,"NO","yeast"
"STP4",0.066275,0.78595,"NO","yeast"
"SIT4",0.003,0.682175,"YES","yeast"
"NPC2",0.060825,0.890225,"YES","yeast"
"MRP10",0.0233,1.465875,"NO","yeast"
"FAD1",0.046325,0.636675,"NO","yeast"
"MTF2",0.13555,0.816875,"NO","yeast"
"ATP1",0.0079,0.417425,"NO","yeast"
"PRP11",0.11535,1.000525,"NO","yeast"
"SIR2",0.0734,0.6274,"NO","yeast"
"NAT1",0.07415,0.68765,"NO","yeast"
"PUS9",0.11165,0.798625,"NO","yeast"
"GPR1",0.119975,0.984625,"NO","yeast"
"SLM3",0.079475,0.71855,"NO","yeast"
"DBP10",0.040125,1.001875,"NO","yeast"
"PRP9",0.124325,0.700025,"NO","yeast"
"ARP2",0.0061,0.7139,"NO","yeast"
"MPS1",0.0543,0.917125,"NO","yeast"
"BNA4",0.053425,0.6858,"NO","yeast"
"YDL027C",0.146075,0.7667,"NO","yeast"
"RTK1",0.058125,0.771825,"NO","yeast"
"GPD1",0.006,0.4729,"NO","yeast"
"GPM2",0.04195,0.685025,"YES","yeast"
"RPN4",0.088175,0.86255,"YES","yeast"
"OSH2",0.06125,0.69855,"YES","yeast"
"ERP3",0.06135,0.644575,"YES","yeast"
"CDC7",0.0205,1.215625,"YES","yeast"
"TSC13",0.040875,0.555875,"YES","yeast"
"NOP1",0.004225,0.41765,"YES","yeast"
"BRN1",0.10165,0.85855,"NO","yeast"
"SLX5",0.0684,0.789025,"NO","yeast"
"YDL012C",0.049625,0.497975,"NO","yeast"
"GRX6",0.103475,0.658875,"NO","yeast"
"APC11",0.062125,0.756675,"NO","yeast"
"RPT2",0.003125,0.614775,"NO","yeast"
"PTC1",0.0222,0.9222,"YES","yeast"
"MED2",0.123225,0.71825,"YES","yeast"
"ATP16",0.033175,0.757875,"YES","yeast"
"MCD1",0.12305,1.028875,"YES","yeast"
"NHP10",0.045175,0.555675,"NO","yeast"
"YBL095W",0.096575,0.73585,"NO","yeast"
"RMD1",0.0273,0.88055,"NO","yeast"
"NTH1",0.013875,0.865225,"YES","yeast"
"YRB1",0.02195,0.3669,"YES","yeast"
"RCR2",0.07505,0.6224,"NO","yeast"
"RAD57",0.07155,0.708125,"NO","yeast"
"MAF1",0.04015,1.001875,"YES","yeast"
"SOK1",0.043075,0.64245,"NO","yeast"
"TRP1",0.112775,0.9453,"NO","yeast"
"GAL3",0.13865,0.9441,"NO","yeast"
"RPL4B",0.009775,0.13265,"NO","yeast"
"ROX3",0.025975,0.578425,"YES","yeast"
"PSF1",0.03025,0.70885,"YES","yeast"
"RAD61",0.1911,0.76765,"NO","yeast"
"HED1",0.24075,0.790975,"NO","yeast"
"DAD1",0.0598,0.691275,"NO","yeast"
"KCS1",0.091975,0.7439,"YES","yeast"
"YDR018C",0.12775,0.70225,"YES","yeast"
"GCV1",0.0584,1.0537,"NO","yeast"
"DAS2",0.0494,0.79065,"YES","yeast"
"FAL1",0.0214,0.7363,"YES","yeast"
"RPL32",0.011375,0.10065,"NO","yeast"
"PEX22",0.2042,0.911825,"YES","yeast"
"ATG31",0.128425,0.641,"NO","yeast"
"SES1",0.0173,0.741075,"NO","yeast"
"RPS11A",0.002525,0.173875,"NO","yeast"
"NSI1",0.145,0.78445,"NO","yeast"
"NSI1",0.318025,0.5459,"NO","yeast"
"VPS54",0.07045,0.825675,"YES","yeast"
"REG1",0.096525,0.77935,"NO","yeast"
"YDR029W",0.21045,0.275275,"NO","yeast"
"RAD28",0.12545,1.0954,"NO","yeast"
"MIX14",0.05625,0.5984,"YES","yeast"
"SCS22",0.1817,0.436275,"NO","yeast"
"PST2",0.004175,0.5959,"YES","yeast"
"MRH1",0.035775,0.4057,"YES","yeast"
"LYS14",0.04975,0.8373,"NO","yeast"
"ARO3",0.0119,0.64065,"NO","yeast"
"EHD3",0.062,0.632775,"YES","yeast"
"KRS1",0.0265,0.30985,"NO","yeast"
"ENA5",0.044675,0.961125,"NO","yeast"
"ENA2",0.05285,0.88155,"NO","yeast"
"RSM10",0.0811,0.8081,"NO","yeast"
"MAP2",0.0338,0.7796,"NO","yeast"
"YDR042C",0.266275,0.61275,"NO","yeast"
"NRG1",0.060475,1.320525,"NO","yeast"
"HEM13",0.0097,0.667975,"YES","yeast"
"RPC11",0.00495,0.67115,"YES","yeast"
"BAP3",0.035775,0.6683,"NO","yeast"
"HEM12",0.027325,0.73075,"NO","yeast"
"VMS1",0.125725,0.971525,"YES","yeast"
"TPI1",0.012,0.110275,"YES","yeast"
"DET1",0.023,0.737325,"YES","yeast"
"DBF4",0.085625,0.701025,"YES","yeast"
"MRP21",0.067925,0.591825,"NO","yeast"
"CDC34",0.007875,0.480875,"YES","yeast"
"PST1",0.056525,0.7293,"YES","yeast"
"YDR056C",0.109775,1.105675,"NO","yeast"
"YOS9",0.11675,0.7664,"NO","yeast"
"TGL2",0.042525,1.1252,"NO","yeast"
"UBC5",0.0031,0.622775,"NO","yeast"
"MAK21",0.054925,0.79205,"NO","yeast"
"YDR061W",0.080875,0.86335,"NO","yeast"
"LCB2",0.02455,1.101275,"YES","yeast"
"AIM7",0.05565,0.58895,"NO","yeast"
"AVT5",0.08005,0.75835,"NO","yeast"
"RPS13",0.003325,0.160875,"NO","yeast"
"RRG1",0.1649,0.75285,"NO","yeast"
"OCA6",0.051225,0.81135,"NO","yeast"
"DOS2",0.156725,0.668575,"YES","yeast"
"DOA4",0.0681,0.73895,"YES","yeast"
"FMP16",0.108125,1.0824,"YES","yeast"
"PAA1",0.024925,0.973725,"YES","yeast"
"IPT1",0.087125,0.600675,"NO","yeast"
"SNF11",0.069875,0.5442,"NO","yeast"
"TPS2",0.0158,0.939875,"NO","yeast"
"TEL1",0.11195,0.870925,"NO","yeast"
"PPH3",0.00685,0.7216,"NO","yeast"
"RAD55",0.082375,0.885425,"NO","yeast"
"SED1",0.06185,0.386675,"YES","yeast"
"SHU2",0.08395,0.778625,"NO","yeast"
"PET100",0.013275,0.4806,"NO","yeast"
"TFB5",0.019825,0.557125,"NO","yeast"
"VPS41",0.08135,0.869225,"NO","yeast"
"PDC2",0.05275,0.942425,"NO","yeast"
"STN1",0.190175,0.719825,"YES","yeast"
"RRP8",0.0625,0.7583,"YES","yeast"
"RPL23A",0.00175,0.22045,"NO","yeast"
"TVP23",0.037825,0.541325,"YES","yeast"
"AFR1",0.212,0.80475,"YES","yeast"
"SSS1",0.02085,0.513275,"YES","yeast"
"RRP1",0.087925,1.06785,"YES","yeast"
"SLU7",0.1183,0.818175,"NO","yeast"
"YDR089W",0.100575,0.902075,"NO","yeast"
"YDR090C",0.082,0.769775,"NO","yeast"
"RLI1",0.01015,0.56925,"NO","yeast"
"UBC13",0.00965,0.668775,"NO","yeast"
"DNF2",0.04635,0.993975,"NO","yeast"
"YBL086C",0.068,0.940825,"YES","yeast"
"GIS1",0.082525,0.904575,"NO","yeast"
"MSH6",0.06635,1.073125,"NO","yeast"
"GRX3",0.049575,0.6412,"NO","yeast"
"BMH2",0.0143,0.6809,"NO","yeast"
"TVP15",0.0432,0.6054,"YES","yeast"
"ARX1",0.0304,0.736525,"NO","yeast"
"STE5",0.137775,0.874375,"NO","yeast"
"SPO71",0.123825,1.025825,"NO","yeast"
"TMS1",0.019275,0.5862,"NO","yeast"
"ARP10",0.189575,1.56665,"NO","yeast"
"BOI1",0.102775,0.89185,"YES","yeast"
"TMN2",0.080375,0.71505,"NO","yeast"
"TRS85",0.0531,0.914875,"NO","yeast"
"YDR109C",0.137675,1.14295,"NO","yeast"
"FOB1",0.051275,1.0354,"NO","yeast"
"ALT2",0.062,0.8116,"NO","yeast"
"PDS1",0.138125,0.8786,"NO","yeast"
"YDR115W",0.07435,0.725525,"NO","yeast"
"MRPL1",0.063325,1.04525,"YES","yeast"
"TMA64",0.096025,0.9215,"YES","yeast"
"APC4",0.140675,0.7832,"YES","yeast"
"CDC27",0.036475,0.581825,"NO","yeast"
"VBA4",0.157375,0.6452,"NO","yeast"
"COX26",0.04635,0.52825,"NO","yeast"
"TRM1",0.03825,0.7708,"NO","yeast"
"DPB4",0.097775,0.8408,"NO","yeast"
"KIN1",0.070775,0.900325,"YES","yeast"
"INO2",0.124825,0.602975,"YES","yeast"
"YDR124W",0.198075,0.69885,"YES","yeast"
"ECM18",0.100825,0.704675,"YES","yeast"
"SWF1",0.08855,0.553375,"NO","yeast"
"ARO1",0.028025,0.798925,"NO","yeast"
"ALG3",0.1063,0.704275,"NO","yeast"
"ACS1",0.016225,0.972275,"YES","yeast"
"MTC5",0.05475,0.9167,"NO","yeast"
"SAC6",0.01755,0.8226,"NO","yeast"
"FIN1",0.112575,0.9143,"NO","yeast"
"YDR131C",0.1282,0.791775,"NO","yeast"
"YDR132C",0.103825,0.80065,"NO","yeast"
"CCW12",0.02575,0.311325,"NO","yeast"
"YCF1",0.03835,0.9683,"NO","yeast"
"RGP1",0.109625,0.78715,"NO","yeast"
"HPR1",0.1403,0.906,"NO","yeast"
"RUB1",0.0091,0.47025,"NO","yeast"
"YBL081W",0.107625,0.5446,"NO","yeast"
"MTQ2",0.078475,0.967575,"NO","yeast"
"DOP1",0.0527,0.825525,"NO","yeast"
"PEX7",0.061875,0.92585,"NO","yeast"
"SAN1",0.147375,0.744875,"NO","yeast"
"MKC7",0.15125,0.665425,"NO","yeast"
"TAF12",0.06715,0.895575,"NO","yeast"
"SWI5",0.106475,0.8953,"NO","yeast"
"EKI1",0.13985,0.762625,"NO","yeast"
"KGD2",0.066675,0.75355,"NO","yeast"
"NUM1",0.175025,0.74365,"NO","yeast"
"PET112",0.079875,0.6386,"YES","yeast"
"NUM1",0.193525,0.902225,"NO","yeast"
"CTH1",0.125825,0.79325,"NO","yeast"
"GIR2",0.063025,0.58275,"NO","yeast"
"ENT5",0.036975,1.061,"YES","yeast"
"CPR1",0.007775,0.271825,"NO","yeast"
"RPA14",0.06015,0.7288,"NO","yeast"
"HOM2",0.012125,0.769075,"NO","yeast"
"SAC3",0.1372,1.2418,"NO","yeast"
"SSY1",0.053925,0.925225,"NO","yeast"
"NUP170",0.052375,0.764075,"YES","yeast"
"YDR161W",0.068075,0.850275,"NO","yeast"
"NBP2",0.1124,0.610675,"YES","yeast"
"CWC15",0.242675,0.6684,"YES","yeast"
"SEC1",0.040425,0.802225,"YES","yeast"
"TRM82",0.11815,0.71505,"YES","yeast"
"SEC5",0.0629,0.678425,"YES","yeast"
"TAF10",0.05025,0.852675,"YES","yeast"
"CDC37",0.0667,0.741375,"YES","yeast"
"STB3",0.0607,0.80845,"NO","yeast"
"SEC7",0.033125,0.76175,"NO","yeast"
"ATG8",0.0058,0.6293,"YES","yeast"
"HSP42",0.0945,0.9565,"NO","yeast"
"SUP35",0.0289,0.7486,"NO","yeast"
"ARG82",0.11945,0.7365,"NO","yeast"
"HMO1",0.012175,0.448025,"YES","yeast"
"RSM24",0.081125,0.77145,"NO","yeast"
"NGG1",0.0963,0.856525,"NO","yeast"
"UBC1",0.010625,0.60775,"YES","yeast"
"SDH4",0.054,0.9084,"YES","yeast"
"CSN9",0.148325,0.725125,"YES","yeast"
"YDR179W-A",0.180175,0.685675,"NO","yeast"
"ILS1",0.023225,0.662725,"YES","yeast"
"SCC2",0.105675,0.727,"YES","yeast"
"SAS4",0.16675,0.793625,"YES","yeast"
"CDC1",0.097275,0.7486,"NO","yeast"
"PLP1",0.1104,1.002725,"NO","yeast"
"YDR183C-A",0.232675,0.208475,"NO","yeast"
"ATC1",0.075825,0.560825,"YES","yeast"
"UPS3",0.0483,0.761325,"NO","yeast"
"YDR186C",0.070175,0.843725,"NO","yeast"
"CCT6",0.018575,0.93655,"YES","yeast"
"SLY1",0.028325,0.687,"YES","yeast"
"SSA3",0.0183,0.951175,"NO","yeast"
"RVB1",0.0125,0.780775,"NO","yeast"
"HST4",0.06295,0.725125,"NO","yeast"
"NUP42",0.1856,0.84875,"NO","yeast"
"MSS116",0.061225,1.0154,"NO","yeast"
"REF2",0.0786,0.529475,"NO","yeast"
"CAB5",0.048775,0.85805,"YES","yeast"
"CBS2",0.11215,0.8084,"NO","yeast"
"RKM2",0.14385,0.609325,"NO","yeast"
"VPS64",0.103375,0.725125,"NO","yeast"
"SPC19",0.061325,0.642,"YES","yeast"
"AAR2",0.1288,0.737125,"NO","yeast"
"RAV2",0.04925,0.91685,"NO","yeast"
"COQ4",0.0631,0.646525,"NO","yeast"
"MSC2",0.1079,0.783275,"NO","yeast"
"EBS1",0.15435,0.64585,"YES","yeast"
"UME6",0.100175,0.558675,"YES","yeast"
"MSS4",0.065425,0.445575,"NO","yeast"
"GCD6",0.036125,1.32825,"NO","yeast"
"TCP1",0.010425,0.82355,"YES","yeast"
"UPC2",0.049475,0.920925,"YES","yeast"
"RPS8A",0.0097,0.106025,"NO","yeast"
"AHA1",0.06295,0.982475,"NO","yeast"
"ADR1",0.09485,0.922975,"NO","yeast"
"RAD9",0.17115,0.73795,"NO","yeast"
"SPR28",0.09765,1.18025,"YES","yeast"
"MFB1",0.116175,0.77775,"NO","yeast"
"GTB1",0.199175,1.12435,"NO","yeast"
"YDR222W",0.163175,0.69,"NO","yeast"
"CRF1",0.301425,0.85635,"NO","yeast"
"HTB1",0.000925,0.24505,"NO","yeast"
"HTA1",0,0.26665,"YES","yeast"
"KTI11",0.02965,0.69495,"NO","yeast"
"ADK1",0.01805,0.414475,"NO","yeast"
"SIR4",0.33535,0.660875,"NO","yeast"
"PCF11",0.06425,0.72035,"NO","yeast"
"IVY1",0.0732,0.68215,"YES","yeast"
"COX20",0.050975,0.6256,"YES","yeast"
"HEM1",0.02475,0.691725,"YES","yeast"
"RTN1",0.039675,0.47455,"YES","yeast"
"LYS4",0.0328,0.71535,"YES","yeast"
"PRP42",0.070675,0.64315,"YES","yeast"
"FMN1",0.093925,0.691525,"YES","yeast"
"AST1",0.0415,0.841275,"NO","yeast"
"FLC2",0.032175,0.78375,"YES","yeast"
"A1BG",0.4663,1.4091,"NO","human"
"A1CF",0.0697,0.5777,"NO","human"
"A2M",0.1879,0.585,"NO","human"
"A3GALT2",0.1965,0.8223,"NO","human"
"A4GALT",0.1237,1.3797,"NO","human"
"A4GNT",0.1727,0.7767,"NO","human"
"AAAS",0.0347,0.4796,"YES","human"
"AACS",0.0505,1.0374,"NO","human"
"AADAC",0.2127,1.1284,"NO","human"
"AADACL2",0.116,0.7194,"NO","human"
"AADACL3",0.3028,0.8712,"NO","human"
"AADACL4",0.2438,0.8912,"NO","human"
"AADAT",0.1714,0.5884,"NO","human"
"AAGAB",0.0815,0.5752,"NO","human"
"AAK1",0.0469,0.341,"NO","human"
"AAMDC",0.2921,0.7945,"NO","human"
"AAMP",0.0066,0.5122,"YES","human"
"AANAT",0.0819,0.9687,"YES","human"
"AAR2",0.0459,0.6259,"YES","human"
"AARD",0.3342,1.1517,"YES","human"
"AARS",0.0222,0.5914,"NO","human"
"AARS2",0.0945,0.5985,"NO","human"
"AARSD1",0.066,0.4758,"NO","human"
"AASDH",0.1776,0.6515,"YES","human"
"AASDHPPT",0.0417,0.5718,"NO","human"
"AASS",0.0718,0.5686,"NO","human"
"AATF",0.104,0.4969,"NO","human"
"AATK",0.1519,0.9744,"NO","human"
"ABAT",0.0455,0.6106,"NO","human"
"ABCA1",0.0242,0.5052,"YES","human"
"ABCA12",0.0575,0.5077,"YES","human"
"ABCA13",0.2288,0.5562,"NO","human"
"ABCA2",0.0326,1.0885,"YES","human"
"ABCA3",0.0624,0.9273,"NO","human"
"ABCA4",0.0649,0.493,"NO","human"
"ABCA5",0.0531,0.5822,"NO","human"
"ABCA6",0.2133,0.6004,"NO","human"
"ABCA7",0.1417,1.1392,"NO","human"
"ABCA8",0.153,0.6032,"YES","human"
"ABCA9",0.1305,0.5335,"NO","human"
"ABCB1",0.0758,0.4596,"NO","human"
"ABCB10",0.1644,0.8208,"NO","human"
"ABCB11",0.1078,0.5234,"YES","human"
"ABCB4",0.0495,0.4852,"NO","human"
"ABCB5",0.1263,0.5113,"NO","human"
"ABCB6",0.0642,0.4573,"NO","human"
"ABCB7",0.0421,0.2781,"YES","human"
"ABCB8",0.0935,0.6899,"YES","human"
"ABCB9",0.0293,0.8008,"NO","human"
"ABCC1",0.0579,0.9649,"NO","human"
"ABCC10",0.0896,0.4681,"NO","human"
"ABCC12",0.0854,0.5223,"NO","human"
"ABCC2",0.1348,0.5553,"NO","human"
"ABCC3",0.1117,0.6609,"NO","human"
"ABCC4",0.0771,0.7936,"YES","human"
"ABCC5",0.0272,0.4719,"NO","human"
"ABCC6",0.1196,0.7823,"NO","human"
"ABCC8",0.023,0.6182,"YES","human"
"ABCC9",0.014,0.7546,"YES","human"
"ABCD1",0.0395,0.7447,"YES","human"
"ABCD2",0.0337,0.4635,"YES","human"
"ABCD3",0.0231,0.4541,"NO","human"
"ABCD4",0.0526,0.4671,"YES","human"
"ABCE1",0,0,"NO","human"
"ABCF1",0.0417,0.6918,"NO","human"
"ABCF2",0.0044,0.4116,"NO","human"
"ABCF3",0.017,0.5626,"YES","human"
"ABCG1",0.0143,0.9675,"NO","human"
"ABCG2",0.3499,0.6102,"NO","human"
"ABCG4",0.0149,0.6025,"NO","human"
"ABCG5",0.1131,0.647,"YES","human"
"ABCG8",0.1011,0.7974,"NO","human"
"ABHD10",0.1244,0.5478,"NO","human"
"ABHD11",0.1958,0.7419,"NO","human"
"ABHD12",0.0522,0.4871,"YES","human"
"ABHD12B",0.1559,0.5483,"NO","human"
"ABHD13",0.0201,0.7386,"NO","human"
"ABHD14A",0.106,0.4702,"NO","human"
"ABHD14A-ACY1",0.0796,0.4688,"NO","human"
"ABHD14B",0.0741,0.4125,"NO","human"
"ABHD15",0.0619,0.8221,"NO","human"
"ABHD16A",0.0193,0.4644,"NO","human"
"ABHD16B",0.0829,1.6926,"NO","human"
"ABHD17A",0.0337,1.0059,"NO","human"
"ABHD17B",0.0078,0.5196,"NO","human"
"ABHD17C",0.0174,0.547,"NO","human"
"ABHD18",0.0446,0.4006,"NO","human"
"ABHD2",0.0052,0.4768,"NO","human"
"ABHD3",0.0342,0.5846,"YES","human"
"ABHD4",0.0168,0.3778,"NO","human"
"ABHD5",0.0261,0.5584,"NO","human"
"ABHD6",0.0282,0.407,"NO","human"
"ABHD8",0.0494,1.6325,"YES","human"
"ABI1",0.0098,0.3261,"NO","human"
"ABI2",0.0088,0.2423,"YES","human"
"ABI3",0.0899,0.6791,"NO","human"
"ABI3BP",0.1051,0.4323,"NO","human"
"ABL1",0.0741,0.7,"YES","human"
"ABL2",0.0314,0.3454,"NO","human"
"ABLIM1",0.044,0.4766,"NO","human"
"ABLIM2",0.0407,0.6307,"YES","human"
"ABLIM3",0.0091,0.432,"NO","human"
"ABO",0.1689,2.0697,"NO","human"
"ABR",0.0172,0.6117,"YES","human"
"ABRA",0.1184,0.5568,"NO","human"
"ABRACL",0.0391,0.4464,"NO","human"
"ABRAXAS1",0.1635,0.7401,"NO","human"
"ABRAXAS2",0.0305,0.4002,"YES","human"
"ABT1",0.1281,0.7413,"NO","human"
"ABTB1",0.0298,1.1114,"NO","human"
"ABTB2",0.0135,0.6743,"NO","human"
"AC001226.2",0.2323,0.8146,"NO","human"
"AC002310.4",0.1783,1.0975,"NO","human"
"AC002310.5",0.2659,1.4888,"NO","human"
"AC002985.1",0.1016,1.9316,"NO","human"
"AC003688.1",0.0935,0.9465,"NO","human"
"AC004233.2",0.4865,0.8668,"NO","human"
"AC004556.1",0.1092,1.1104,"NO","human"
"AC004593.3",0.0311,0.5495,"NO","human"
"AC004691.2",0.0805,0.7828,"NO","human"
"AC004754.1",0.2147,0.9739,"NO","human"
"AC004922.1",0.061,0.7019,"YES","human"
"AC004997.1",0.2424,1.6358,"NO","human"
"AC005041.1",0.433,0.9969,"NO","human"
"AC005324.4",0.0967,0.6095,"NO","human"
"AC005520.1",0.1029,0.6221,"NO","human"
"AC005551.1",0.1503,1.9071,"NO","human"
"AC005670.2",0.0785,0.4855,"NO","human"
"AC005697.1",0.0856,0.4194,"NO","human"
"AC005726.1",0.6173,1.4808,"NO","human"
"AC005832.4",0.0617,1.3459,"NO","human"
