"Gene_name","dN","dS","micro-synteny","dataset","dNdS"
"RPC31",0.0417,1.070525,"YES","yeast",0.039
"HSM3",0.129225,0.75475,"NO","yeast",0.1712
"PGA2",0.09935,0.6037,"YES","yeast",0.1646
"ALF1",0.12385,0.41925,"NO","yeast",0.2954
"LSM7",0.019975,0.98665,"NO","yeast",0.0202
"YNL146W",0.228,0.60285,"NO","yeast",0.3782
"MFA2",0.05995,0.80455,"NO","yeast",0.0745
"YNL144C",0.1546,1.0259,"NO","yeast",0.1507
"MEP2",0.012125,0.697775,"NO","yeast",0.0174
"AAH1",0.05865,0.697925,"NO","yeast",0.084
"THO2",0.0891,0.8814,"NO","yeast",0.1011
"YSF3",0.093275,1.123975,"NO","yeast",0.083
"UBX7",0.108225,0.776525,"NO","yeast",0.1394
"SRV2",0.058025,0.92365,"NO","yeast",0.0628
"NAM9",0.06805,0.7534,"YES","yeast",0.0903
"EAF7",0.180825,0.843075,"YES","yeast",0.2145
"FPR1",0.004125,0.262925,"NO","yeast",0.0157
"YNL134C",0.0484,1.05155,"NO","yeast",0.046
"FYV6",0.169025,0.795675,"NO","yeast",0.2124
"KRE33",0.02395,0.9321,"NO","yeast",0.0257
"TOM22",0.051275,0.480025,"NO","yeast",0.1068
"CPT1",0.06055,0.689775,"NO","yeast",0.0878
"NRK1",0.0611,0.674225,"NO","yeast",0.0906
"CHK1",0.055225,0.670575,"NO","yeast",0.0824
"TEP1",0.08695,0.7898,"NO","yeast",0.1101
"FAR11",0.075625,0.732125,"NO","yeast",0.1033
"SPC98",0.0608,0.67425,"NO","yeast",0.0902
"ESBP6",0.0653,0.8863,"NO","yeast",0.0737
"NAF1",0.113425,0.717525,"NO","yeast",0.1581
"NMA111",0.03015,0.94525,"NO","yeast",0.0319
"YNL122C",0.088975,0.72475,"NO","yeast",0.1228
"TOM70",0.032225,0.61535,"NO","yeast",0.0524
"NCS2",0.111225,0.80925,"YES","yeast",0.1374
"DCP2",0.1392,0.813425,"YES","yeast",0.1711
"RIF1",0.186,0.878825,"NO","yeast",0.2116
"MLS1",0.0214,0.6799,"YES","yeast",0.0315
"DMA2",0.067825,0.795325,"YES","yeast",0.0853
"YNL115C",0.048025,1.03315,"YES","yeast",0.0465
"RPC19",0.03615,0.872425,"NO","yeast",0.0414
"DBP2",0.01475,0.6678,"NO","yeast",0.0221
"CYB5",0.033,0.41365,"NO","yeast",0.0798
"NOP15",0.07495,0.514575,"YES","yeast",0.1457
"YNL108C",0.047025,1.2969,"NO","yeast",0.0363
"YAF9",0.053475,0.586975,"YES","yeast",0.0911
"INP52",0.097975,0.944275,"NO","yeast",0.1038
"PPS1",0.12375,0.903075,"NO","yeast",0.137
"ATS1",0.16065,0.683675,"YES","yeast",0.235
"LEU9",0.01495,0.6589,"NO","yeast",0.0227
"MET4",0.130175,0.8654,"NO","yeast",0.1504
"POL1",0.0512,1.02525,"YES","yeast",0.0499
"AVT4",0.03695,0.8141,"YES","yeast",0.0454
"MIC27",0.10375,0.9386,"YES","yeast",0.1105
"OCA1",0.032775,0.8471,"YES","yeast",0.0387
"RAS2",0.071025,0.59115,"NO","yeast",0.1201
"PHO23",0.0474,0.8862,"NO","yeast",0.0535
"RPS7B",0.004575,0.216025,"NO","yeast",0.0212
"YNL095C",0.0874,0.87485,"NO","yeast",0.0999
"DPB3",0.15295,1.051825,"NO","yeast",0.1454
"APP1",0.0767,0.839975,"YES","yeast",0.0913
"YPT53",0.117,1.231925,"NO","yeast",0.095
"YNL092W",0.0976,0.900925,"NO","yeast",0.1083
"NST1",0.109225,0.997275,"NO","yeast",0.1095
"RHO2",0.015875,0.72795,"YES","yeast",0.0218
"TOP2",0.0592,1.062325,"YES","yeast",0.0557
"TCB2",0.0735,0.747775,"YES","yeast",0.0983
"SNN1",0.0943,0.805475,"NO","yeast",0.1171
"MKT1",0.044275,0.8637,"NO","yeast",0.0513
"END3",0.068225,0.626325,"NO","yeast",0.1089
"PAF1",0.064175,0.84965,"NO","yeast",0.0755
"SAL1",0.109475,0.87285,"YES","yeast",0.1254
"PMS1",0.11395,0.976175,"YES","yeast",0.1167
"SWS2",0.03485,0.9516,"YES","yeast",0.0366
"EOS1",0.0593,0.607475,"YES","yeast",0.0976
"TPM1",0.018875,0.362325,"NO","yeast",0.0521
"NIS1",0.171975,0.923575,"NO","yeast",0.1862
"APJ1",0.080625,1.063025,"NO","yeast",0.0758
"MKS1",0.076525,0.794875,"YES","yeast",0.0963
"IMP4",0.013225,0.682425,"NO","yeast",0.0194
"MLF3",0.0996,0.6109,"NO","yeast",0.163
"SAF1",0.074375,1.00125,"NO","yeast",0.0743
"MSK1",0.118075,0.81195,"NO","yeast",0.1454
"RNH201",0.05275,0.746825,"YES","yeast",0.0706
"LAT1",0.040425,0.67035,"YES","yeast",0.0603
"TOM7",0.0131,0.467975,"NO","yeast",0.028
"RPL16B",0.01,0.13055,"NO","yeast",0.0766
"FKH2",0.07375,0.789,"NO","yeast",0.0935
"YNL067W-A",0.21085,0.387925,"NO","yeast",0.5435
"RPL9B",0.022925,0.273075,"NO","yeast",0.084
"SUN4",0.07795,0.7682,"NO","yeast",0.1015
"AQR1",0.033875,0.78485,"NO","yeast",0.0432
"DUG2",0.037775,0.72075,"YES","yeast",0.0524
"YDJ1",0.017225,0.49125,"NO","yeast",0.0351
"MTQ1",0.127475,0.998275,"NO","yeast",0.1277
"GCD10",0.059675,0.939875,"NO","yeast",0.0635
"NOP2",0.019025,0.671625,"YES","yeast",0.0283
"ARP5",0.03965,0.746525,"NO","yeast",0.0531
"YNL058C",0.10825,0.8997,"NO","yeast",0.1203
"OCA2",0.04415,0.7544,"NO","yeast",0.0585
"POR1",0.01045,0.6677,"NO","yeast",0.0157
"VAC7",0.085925,0.812575,"NO","yeast",0.1057
"MSG5",0.094575,0.564675,"YES","yeast",0.1675
"MRPL27",0.045825,1.373675,"YES","yeast",0.0334
"COX5A",0.04005,0.6132,"YES","yeast",0.0653
"COG5",0.103925,0.8766,"YES","yeast",0.1186
"YNL050C",0.118375,0.464,"NO","yeast",0.2551
"SFB2",0.071525,0.906625,"NO","yeast",0.0789
"ALG11",0.0797,0.710525,"YES","yeast",0.1122
"SLM2",0.0881,0.7125,"NO","yeast",0.1236
"YNL046W",0.219025,0.484775,"NO","yeast",0.4518
"LAP2",0.0696,0.797725,"YES","yeast",0.0872
"YIP3",0.03375,0.46705,"NO","yeast",0.0723
"BOP3",0.09835,0.627425,"NO","yeast",0.1568
"SSH1",0.0264,0.57525,"YES","yeast",0.0459
"COG6",0.090175,0.71845,"NO","yeast",0.1255
"BDP1",0.078025,1.053975,"NO","yeast",0.074
"GPI15",0.134825,0.811575,"NO","yeast",0.1661
"NCE103",0.033675,0.74725,"NO","yeast",0.0451
"YNL035C",0.0825,1.235225,"NO","yeast",0.0668
"KTR5",0.110875,0.68565,"NO","yeast",0.1617
"CRZ1",0.087475,0.89175,"NO","yeast",0.0981
"SAM50",0.066925,0.88545,"NO","yeast",0.0756
"SSN8",0.02185,0.7017,"NO","yeast",0.0311
"YBR284W",0.1312,0.78915,"YES","yeast",0.1663
"YNL024C",0.0523,0.63745,"NO","yeast",0.082
"FAP1",0.0878,0.99295,"YES","yeast",0.0884
"RCM1",0.052775,0.65655,"YES","yeast",0.0804
"HDA1",0.024825,0.85895,"NO","yeast",0.0289
"ARK1",0.13255,0.620175,"NO","yeast",0.2137
"PUB1",0.022275,0.5518,"NO","yeast",0.0404
"PBI2",0.02225,0.411975,"NO","yeast",0.054
"HEF3",0.025875,0.8346,"NO","yeast",0.031
"SPO1",0.072975,0.7778,"NO","yeast",0.0938
"YNL011C",0.0379,0.817125,"NO","yeast",0.0464
"YBR285W",0.12985,0.57285,"YES","yeast",0.2267
"YNL010W",0.015275,0.49405,"YES","yeast",0.0309
"IDP3",0.0512,0.8267,"NO","yeast",0.0619
"ASI3",0.17975,0.674925,"NO","yeast",0.2663
"SIS1",0.010975,0.999625,"NO","yeast",0.011
"LST8",0.0019,0.7822,"YES","yeast",0.0024
"MRP7",0.0871,1.08795,"NO","yeast",0.0801
"HRB1",0.078475,0.607125,"NO","yeast",0.1293
"PET8",0.0338,0.680825,"NO","yeast",0.0496
"RLP7",0.047225,0.606675,"YES","yeast",0.0778
"DOM34",0.038275,0.80365,"YES","yeast",0.0476
"APE3",0.040125,0.618825,"YES","yeast",0.0648
"CIT1",0.0136,0.59805,"NO","yeast",0.0227
"YNR001W-A",0.082775,0.089625,"NO","yeast",0.9236
"ATO2",0.02595,0.79035,"NO","yeast",0.0328
"RPC34",0.0187,0.6756,"YES","yeast",0.0277
"SWM2",0.10815,0.706075,"YES","yeast",0.1532
"VPS27",0.03855,0.77135,"YES","yeast",0.05
"ATG3",0.048125,0.77465,"YES","yeast",0.0621
"LRO1",0.040825,0.6906,"YES","yeast",0.0591
"NRM1",0.110575,0.56855,"YES","yeast",0.1945
"CSE2",0.093875,0.648325,"YES","yeast",0.1448
"YBR287W",0.0318,0.69025,"YES","yeast",0.0461
"FUN30",0.041725,0.696925,"NO","yeast",0.0599
"PRP2",0.08465,0.9498,"YES","yeast",0.0891
"URK1",0.038975,0.724825,"YES","yeast",0.0538
"PHO91",0.0325,0.657975,"YES","yeast",0.0494
"YNR014W",0.075325,0.976825,"NO","yeast",0.0771
"SMM1",0.06575,0.8221,"NO","yeast",0.08
"ACC1",0.01065,0.650625,"NO","yeast",0.0164
"TIM23",0.038225,0.947625,"NO","yeast",0.0403
"RCF2",0.018975,0.836325,"YES","yeast",0.0227
"ARE2",0.036825,0.6302,"YES","yeast",0.0584
"ATP23",0.0487,0.834425,"YES","yeast",0.0584
"APM3",0.063875,0.927275,"NO","yeast",0.0689
"YNR021W",0.0494,0.639175,"YES","yeast",0.0773
"MRPL50",0.1625,0.558775,"YES","yeast",0.2908
"SNF12",0.11325,0.820125,"NO","yeast",0.1381
"MPP6",0.171425,0.610875,"NO","yeast",0.2806
"SEC12",0.08645,0.6946,"NO","yeast",0.1245
"BUD17",0.1133,0.723125,"YES","yeast",0.1567
"CPR8",0.20445,1.009725,"YES","yeast",0.2025
"YNR029C",0.069825,0.995325,"YES","yeast",0.0702
"ALG12",0.070125,0.69155,"YES","yeast",0.1014
"SSK2",0.0292,0.90765,"YES","yeast",0.0322
"SNF5",0.064825,0.798925,"NO","yeast",0.0811
"PPG1",0.019075,0.73405,"YES","yeast",0.026
"HUB1",0.02075,0.56445,"YES","yeast",0.0368
"ABZ1",0.079275,0.750025,"YES","yeast",0.1057
"SOL1",0.024875,0.575675,"NO","yeast",0.0432
"YNR034W-A",0.046,0.743375,"NO","yeast",0.0619
"ARC35",0.035325,0.526,"NO","yeast",0.0672
"MRPS12",0.0238,0.7614,"NO","yeast",0.0313
"RSM19",0.0201,0.819075,"NO","yeast",0.0245
"DBP6",0.09015,0.7319,"NO","yeast",0.1232
"ZRG17",0.0651,0.658325,"NO","yeast",0.0989
"BSD2",0.048775,1.2711,"NO","yeast",0.0384
"YNR040W",0.101125,0.8122,"NO","yeast",0.1245
"COQ2",0.0451,0.62475,"NO","yeast",0.0722
"MVD1",0.024125,0.621225,"NO","yeast",0.0388
"AGA1",0.27315,0.506375,"NO","yeast",0.5394
"PET494",0.1062,0.72855,"NO","yeast",0.1458
"TRM112",0.041975,1.00355,"NO","yeast",0.0418
"FPK1",0.056175,0.870875,"NO","yeast",0.0645
"YNR048W",0.061775,0.649325,"NO","yeast",0.0951
"MSO1",0.06975,0.5803,"NO","yeast",0.1202
"LYS9",0.020675,0.48865,"NO","yeast",0.0423
"CTP1",0.0244,0.780925,"NO","yeast",0.0312
"BRE5",0.1101,0.679825,"NO","yeast",0.162
"POP2",0.0226,0.481625,"YES","yeast",0.0469
"NOG2",0.019825,0.796725,"NO","yeast",0.0249
"ESF2",0.0721,0.692175,"NO","yeast",0.1042
"HOL1",0.021725,0.714725,"NO","yeast",0.0304
"BIO5",0.0323,0.81795,"NO","yeast",0.0395
"BIO4",0.05675,0.29515,"NO","yeast",0.1923
"BIO3",0.0486,1.06925,"YES","yeast",0.0455
"MNT4",0.18505,0.740675,"YES","yeast",0.2498
"FRE4",0.072225,0.681975,"YES","yeast",0.1059
"VBA2",0.060175,0.857475,"NO","yeast",0.0702
"DSE4",0.0847,0.72735,"NO","yeast",0.1165
"YNR068C",0.211475,1.01275,"NO","yeast",0.2088
"DCP1",0.053275,0.767425,"YES","yeast",0.0694
"SPT20",0.045975,0.752675,"NO","yeast",0.0611
"PEX11",0.039025,0.63175,"YES","yeast",0.0618
"PSF3",0.038625,0.74665,"NO","yeast",0.0517
"CTR9",0.050175,0.771475,"NO","yeast",0.065
"NOP8",0.1182,0.6906,"YES","yeast",0.1712
"RIB4",0.0156,0.539925,"YES","yeast",0.0289
"SUL1",0.060975,1.050575,"NO","yeast",0.058
"PPM2",0.10285,0.9236,"YES","yeast",0.1114
"ARG8",0.0333,0.81975,"YES","yeast",0.0406
"CDC33",0.001575,0.26785,"NO","yeast",0.0059
"RTC1",0.0901,0.870725,"NO","yeast",0.1035
"BSC6",0.078025,0.745075,"NO","yeast",0.1047
"PFK27",0.0461,0.853775,"NO","yeast",0.054
"MED7",0.0637,0.5417,"YES","yeast",0.1176
"HRT1",0.036425,0.712275,"YES","yeast",0.0511
"GAS4",0.06695,0.839025,"YES","yeast",0.0798
"YOL131W",0.228525,1.13115,"YES","yeast",0.202
"CHA1",0.060825,0.82585,"YES","yeast",0.0737
"ALR1",0.070775,0.926575,"YES","yeast",0.0764
"VPS68",0.02355,0.633975,"YES","yeast",0.0371
"YGK3",0.0869,0.62675,"YES","yeast",0.1387
"RPL25",0.007875,0.0419,"YES","yeast",0.1879
"MDH2",0.019875,0.840875,"NO","yeast",0.0236
"TRM13",0.1278,0.846675,"NO","yeast",0.1509
"TRM11",0.0314,0.774425,"YES","yeast",0.0405
"HRP1",0.0186,0.498925,"YES","yeast",0.0373
"SMF1",0.0637,1.013075,"NO","yeast",0.0629
"RPS19A",0.004875,0.1751,"NO","yeast",0.0278
"VAC17",0.0813,0.67815,"NO","yeast",0.1199
"RPL18A",0.0084,0.08965,"NO","yeast",0.0937
"MCH4",0.037025,0.921825,"NO","yeast",0.0402
"RRI2",0.1226,0.84015,"NO","yeast",0.1459
"MSN1",0.051575,0.756575,"NO","yeast",0.0682
"PAP2",0.059825,1.009625,"NO","yeast",0.0593
"YOL114C",0.1642,1.131425,"NO","yeast",0.1451
"SKM1",0.094525,0.787625,"NO","yeast",0.12
"MSB4",0.069875,0.84475,"NO","yeast",0.0827
"MDY2",0.11875,0.5495,"NO","yeast",0.2161
"SHR5",0.088825,0.64915,"YES","yeast",0.1368
"MRC1",0.171225,0.86965,"NO","yeast",0.1969
"ZEO1",0.080875,0.3624,"NO","yeast",0.2232
"INO4",0.099275,1.571525,"NO","yeast",0.0632
"YOL107W",0.065475,0.616925,"NO","yeast",0.1061
"WSC3",0.135525,0.6986,"NO","yeast",0.194
"NDJ1",0.19185,0.7974,"NO","yeast",0.2406
"ITR2",0.041475,0.85425,"NO","yeast",0.0486
"TPT1",0.096875,0.784025,"YES","yeast",0.1236
"IZH4",0.056625,0.56705,"NO","yeast",0.0999
"PKH2",0.1117,0.9165,"NO","yeast",0.1219
"YOL098C",0.068,0.9707,"NO","yeast",0.0701
"KRR1",0.011025,0.715725,"NO","yeast",0.0154
"LDS1",0.083475,0.631175,"NO","yeast",0.1323
"WRS1",0.017,0.624825,"NO","yeast",0.0272
"COQ3",0.0778,1.11505,"NO","yeast",0.0698
"HMI1",0.081375,0.681375,"YES","yeast",0.1194
"RFC4",0.01805,0.833825,"NO","yeast",0.0216
"TRM10",0.053875,0.70545,"NO","yeast",0.0764
"YPQ1",0.054825,0.593225,"NO","yeast",0.0924
"SPO21",0.102225,0.7779,"YES","yeast",0.1314
"MSH2",0.034575,0.8497,"YES","yeast",0.0407
"HAL9",0.09435,0.9321,"YES","yeast",0.1012
"MPD2",0.139725,0.568025,"YES","yeast",0.246
"ADF1",0.10315,0.493225,"NO","yeast",0.2091
"DUF1",0.0738,0.871125,"NO","yeast",0.0847
"MHF1",0.107275,0.783775,"NO","yeast",0.1369
"ADH1",0.02035,0.1128,"NO","yeast",0.1804
"PHM7",0.068725,1.24025,"NO","yeast",0.0554
"ATG34",0.210525,0.9888,"NO","yeast",0.2129
"ATG19",0.208425,0.69735,"NO","yeast",0.2989
"IRA2",0.04605,1.039375,"NO","yeast",0.0443
"REX4",0.10375,0.837675,"NO","yeast",0.1239
"AVO1",0.06595,0.829875,"NO","yeast",0.0795
"ATP19",0.03675,0.4669,"NO","yeast",0.0787
"MIC10",0.04075,0.461925,"NO","yeast",0.0882
"BRX1",0.0105,0.624825,"YES","yeast",0.0168
"MDM20",0.1077,0.59255,"YES","yeast",0.1818
"YOL075C",0.043625,0.922875,"YES","yeast",0.0473
"DSC2",0.071525,0.66335,"YES","yeast",0.1078
"THP1",0.079225,0.770175,"YES","yeast",0.1029
"SDH5",0.07765,0.72775,"NO","yeast",0.1067
"NBA1",0.11345,0.835325,"NO","yeast",0.1358
"NUF2",0.047325,0.494975,"NO","yeast",0.0956
"HST1",0.0413,0.949475,"NO","yeast",0.0435
"RTG1",0.02485,0.990225,"NO","yeast",0.0251
"PRD1",0.047875,0.693175,"NO","yeast",0.0691
"RIB2",0.050025,1.18275,"NO","yeast",0.0423
"INP54",0.09045,0.8746,"NO","yeast",0.1034
"MET22",0.03135,0.751925,"YES","yeast",0.0417
"CRT10",0.069525,0.7988,"NO","yeast",0.087
"APM4",0.035575,0.7363,"NO","yeast",0.0483
"PRS5",0.012825,0.7935,"NO","yeast",0.0162
"MAM3",0.057425,1.01575,"NO","yeast",0.0565
"GPD2",0.0235,0.437075,"NO","yeast",0.0538
"ARG1",0.01345,0.529075,"YES","yeast",0.0254
"YOL057W",0.05615,0.768725,"NO","yeast",0.073
"PEX34",0.111075,0.582,"YES","yeast",0.1909
"GPM3",0.0786,0.6517,"NO","yeast",0.1206
"THI20",0.045575,0.828925,"NO","yeast",0.055
"PSH1",0.086725,0.6755,"NO","yeast",0.1284
"AIM39",0.095725,0.70525,"NO","yeast",0.1357
"SPE2",0.05225,0.7675,"NO","yeast",0.0681
"GAL11",0.0798,0.63815,"NO","yeast",0.125
"GAL11",0.057525,0.6644,"NO","yeast",0.0866
"GSH2",0.090675,0.6783,"NO","yeast",0.1337
"RRT8",0.04075,0.91995,"YES","yeast",0.0443
"RRT8",0.097175,0.7136,"YES","yeast",0.1362
"KAR4",0.020325,0.838275,"NO","yeast",0.0242
"LDS2",0.083025,0.69815,"NO","yeast",0.1189
"PSK2",0.060025,0.71545,"NO","yeast",0.0839
"PEX15",0.191375,0.61515,"YES","yeast",0.3111
"NTG2",0.074025,0.970875,"YES","yeast",0.0762
"NGL1",0.029725,0.684575,"YES","yeast",0.0434
"NOP12",0.08345,0.71825,"YES","yeast",0.1162
"RPS15",0.01465,0.1077,"YES","yeast",0.136
"RPP2A",0.016025,0.164575,"NO","yeast",0.0974
"PRE6",0.0106,0.613125,"NO","yeast",0.0173
"YOL036W",0.14585,0.66325,"NO","yeast",0.2199
"SPB1",0.025575,0.527125,"NO","yeast",0.0485
"SMC5",0.056725,1.38065,"NO","yeast",0.0411
"MSE1",0.08645,0.753325,"NO","yeast",0.1148
"OPI10",0.03255,0.7108,"NO","yeast",0.0458
"SIL1",0.13375,0.675175,"YES","yeast",0.1981
"GAS5",0.0434,0.868325,"NO","yeast",0.05
"YOL029C",0.130025,0.6425,"NO","yeast",0.2024
"MDM38",0.0591,0.603333333333,"YES","yeast",0.098
"MIM1",0.095175,1.118775,"NO","yeast",0.0851
"LAG2",0.150675,0.701825,"NO","yeast",0.2147
"YOL024W",0.2603,0.794575,"NO","yeast",0.3276
"PBN1",0.0936,0.853575,"NO","yeast",0.1097
"IFM1",0.0533,0.67815,"YES","yeast",0.0786
"TSR4",0.066625,0.809075,"NO","yeast",0.0823
"DIS3",0.023925,0.7438,"NO","yeast",0.0322
"TAT2",0.032475,0.636375,"NO","yeast",0.051
"YOL019W-A",0.194,0.091675,"NO","yeast",2.1162
"YOL019W",0.1076,0.746625,"NO","yeast",0.1441
"TLG2",0.063625,0.811275,"NO","yeast",0.0784
"ESC8",0.227475,0.828525,"NO","yeast",0.2746
"CMK2",0.0293,0.7502,"NO","yeast",0.0391
"IRC10",0.24615,0.919,"YES","yeast",0.2678
"LRE1",0.116425,0.650625,"YES","yeast",0.1789
"YOL014W",0.24625,0.91735,"NO","yeast",0.2684
"HRD1",0.085325,0.62325,"NO","yeast",0.1369
"HTZ1",0.0078,0.60595,"YES","yeast",0.0129
"PLB3",0.048175,0.81445,"YES","yeast",0.0592
"RCL1",0.024775,0.610225,"YES","yeast",0.0406
"MDM12",0.07485,0.858325,"YES","yeast",0.0872
"CSI2",0.095275,1.046275,"NO","yeast",0.0911
"TOP1",0.030025,0.70295,"NO","yeast",0.0427
"RPB11",0.0029,0.622675,"NO","yeast",0.0047
"APA1",0.02885,0.474025,"NO","yeast",0.0609
"SIN3",0.0687,0.81805,"NO","yeast",0.084
"PFA4",0.11135,0.760875,"NO","yeast",0.1463
"IZH2",0.032875,0.83425,"YES","yeast",0.0394
"PHO80",0.06325,0.77295,"YES","yeast",0.0818
"RRP6",0.125,0.8104,"YES","yeast",0.1542
"ALG6",0.02405,0.756675,"YES","yeast",0.0318
"YSP3",0.11475,0.90875,"NO","yeast",0.1263
"UTP23",0.075975,0.6239,"NO","yeast",0.1218
"DNL4",0.11155,0.775825,"NO","yeast",0.1438
"TSR3",0.075725,0.708675,"NO","yeast",0.1069
"YCL049C",0.15335,0.67535,"NO","yeast",0.2271
"PSK1",0.05435,0.839125,"NO","yeast",0.0648
"SGT2",0.053425,0.589425,"NO","yeast",0.0906
"SLG1",0.094375,0.73735,"NO","yeast",0.128
"TIR4",0.095575,0.5551,"NO","yeast",0.1722
"TIR2",0.121575,1.02455,"NO","yeast",0.1187
"AUS1",0.04355,0.91385,"NO","yeast",0.0477
"YOR012W",0.122625,0.61225,"NO","yeast",0.2003
"RTS1",0.03685,0.827825,"NO","yeast",0.0445
"ERP4",0.0328,0.5384,"NO","yeast",0.0609
"PET127",0.10325,0.7033,"NO","yeast",0.1468
"ROD1",0.080225,0.997525,"NO","yeast",0.0804
"YCL048W-A",0.122725,0.426725,"NO","yeast",0.2876
"YOR019W",0.15045,1.035475,"NO","yeast",0.1453
"HSP10",0.0078,0.463475,"YES","yeast",0.0168
"YOR020W-A",0.1642,1.396125,"YES","yeast",0.1176
"SFM1",0.043775,0.584575,"NO","yeast",0.0749
"YOR022C",0.09095,0.943025,"NO","yeast",0.0964
"AHC1",0.10205,0.95695,"NO","yeast",0.1066
"HST3",0.067225,0.879725,"NO","yeast",0.0764
"BUB3",0.10285,0.7671,"NO","yeast",0.1341
"STI1",0.03705,0.736375,"YES","yeast",0.0503
"CIN5",0.117825,0.809425,"NO","yeast",0.1456
"SPS22",0.07115,0.697525,"NO","yeast",0.102
"DFG16",0.132475,0.7659,"NO","yeast",0.173
"HMS1",0.109325,0.93585,"NO","yeast",0.1168
"EXO1",0.09915,0.853325,"NO","yeast",0.1162
"AKR2",0.10905,0.70405,"NO","yeast",0.1549
"SHE4",0.055525,1.027775,"NO","yeast",0.054
"PEP12",0.0555,0.573075,"YES","yeast",0.0968
"CYC2",0.149775,0.685375,"YES","yeast",0.2185
"HIR2",0.064575,0.679,"YES","yeast",0.0951
"CKB2",0.0167,0.6448,"YES","yeast",0.0259
"GLO4",0.125225,1.050775,"NO","yeast",0.1192
"POF1",0.082325,0.7798,"YES","yeast",0.1056
"CUE5",0.10575,0.657375,"NO","yeast",0.1609
"WHI2",0.04245,0.569075,"NO","yeast",0.0746
"IRC23",0.115725,0.87725,"YES","yeast",0.1319
"TOM6",0.045275,0.384125,"YES","yeast",0.1179
"DBP5",0.0285,0.7866,"YES","yeast",0.0362
"STD1",0.078575,1.0713,"YES","yeast",0.0733
"RAT1",0.0384,0.82605,"NO","yeast",0.0465
"RSB1",0.06045,0.674475,"NO","yeast",0.0896
"ETT1",0.071775,0.776075,"NO","yeast",0.0925
"TMC1",0.019775,0.7095,"NO","yeast",0.0279
"EMC1",0.108475,0.682225,"YES","yeast",0.159
"VHS3",0.084475,0.863575,"NO","yeast",0.0978
"NOB1",0.06885,0.688775,"NO","yeast",0.1
"SGT1",0.1483,0.906875,"YES","yeast",0.1635
"ASE1",0.113975,0.8123,"NO","yeast",0.1403
"LPL1",0.06535,0.8055,"NO","yeast",0.0811
"SLD7",0.101075,0.63605,"YES","yeast",0.1589
"CKA2",0.007025,0.545575,"YES","yeast",0.0129
"YOR062C",0.16815,0.753975,"NO","yeast",0.223
"RPL3",0.0114,0.139575,"NO","yeast",0.0817
"YNG1",0.141925,0.9618,"NO","yeast",0.1476
"MGR1",0.044225,0.902575,"YES","yeast",0.049
"CYT1",0.013825,0.444225,"YES","yeast",0.0311
"MSA1",0.107675,0.682075,"YES","yeast",0.1579
"ALG8",0.030075,0.66665,"YES","yeast",0.0451
"VPS5",0.113875,0.728325,"NO","yeast",0.1564
"GYP1",0.034775,0.8303,"NO","yeast",0.0419
"SGO1",0.110725,0.678075,"NO","yeast",0.1633
"CDC21",0.034025,0.66305,"NO","yeast",0.0513
"UFE1",0.0869,0.6587,"NO","yeast",0.1319
"SKI7",0.185075,0.781425,"YES","yeast",0.2368
"RTS2",0.10745,0.6725,"NO","yeast",0.1598
"PDI1",0.042125,0.96385,"NO","yeast",0.0437
"BUD21",0.152475,0.5792,"NO","yeast",0.2633
"ATX2",0.057775,0.8839,"NO","yeast",0.0654
"DIA2",0.14495,0.881425,"NO","yeast",0.1644
"TGL5",0.046875,0.884625,"NO","yeast",0.053
"WHI5",0.02855,1.070025,"YES","yeast",0.0267
"LPX1",0.121125,0.471775,"YES","yeast",0.2567
"OST3",0.04795,0.7141,"YES","yeast",0.0671
"TCB1",0.034375,0.8117,"NO","yeast",0.0423
"YVC1",0.038825,0.7028,"NO","yeast",0.0552
"VPS21",0.0209,0.546675,"YES","yeast",0.0382
"GLK1",0.012175,1.527225,"NO","yeast",0.008
"PTC5",0.04595,0.7886,"NO","yeast",0.0583
"TMA46",0.037675,0.50495,"NO","yeast",0.0746
"ECM3",0.047625,0.76265,"NO","yeast",0.0624
"YOR093C",0.042425,0.91755,"NO","yeast",0.0462
"ARF3",0.0145,0.62565,"YES","yeast",0.0232
"RKI1",0.039925,0.7684,"NO","yeast",0.052
"RPS7A",0.013275,0.109525,"NO","yeast",0.1212
"YOR097C",0.117975,0.577175,"NO","yeast",0.2044
"NUP1",0.2441,0.734575,"NO","yeast",0.3323
"KTR1",0.059825,0.923975,"YES","yeast",0.0647
"GID7",0.05235,0.7819,"YES","yeast",0.067
"CRC1",0.041125,0.895075,"NO","yeast",0.0459
"RAS1",0.129,0.955775,"YES","yeast",0.135
"OST2",0.05375,0.498475,"YES","yeast",0.1078
"PIN2",0.087425,0.917975,"NO","yeast",0.0952
"VAM3",0.061575,0.6801,"NO","yeast",0.0905
"RGS2",0.2177,0.840275,"NO","yeast",0.2591
"LEU9",0.026325,0.8278,"NO","yeast",0.0318
"INP53",0.0407,1.00165,"NO","yeast",0.0406
"TFC7",0.096175,0.862575,"NO","yeast",0.1115
"YOR111W",0.0922,0.774975,"NO","yeast",0.119
"ATG22",0.049325,0.636175,"YES","yeast",0.0775
"CEX1",0.117675,0.725125,"NO","yeast",0.1623
"AZF1",0.0964,0.71975,"YES","yeast",0.1339
"YOR114W",0.10405,0.611975,"YES","yeast",0.17
"TRS33",0.05115,0.591325,"YES","yeast",0.0865
"RPO31",0.02905,1.1641,"YES","yeast",0.025
"UBP2",0.090275,1.529975,"YES","yeast",0.059
